2025-06-21T14:54:23.869223929Z 2025-06-21 14:54:23.868 | DEBUG    | rocket_controller.strategies.strategy:__init__:82 - Initialized final strategy parameters:
2025-06-21T14:54:23.869267621Z 	{'encoding': [1008, 3984, 2549, 91, 3211, 3875, 3481, 3881, 1970, 3133, 3888, 3895, 3004, 2703, 1990, 3251, 1966, 1800, 3896, 111, 301, 3902, 1148, 3878, 1130, 532, 339, 3430, 123, 1161, 1148, 707, 1803, 812, 1223, 2180, 874, 1053, 1055, 583, 1161, 1055, 1086, 2955, 2270, 1505, 3948, 2421, 2946, 1129, 2246, 4, 1252, 3431, 767, 3166, 1096, 2375, 1056, 3824, 975, 3131, 1628, 2591, 2487, 2213, 2921, 1094, 2090, 1190, 1358, 839, 1072, 2909, 3123, 3967, 636, 1324, 3765, 3211, 722, 596, 3196, 2027, 3701, 1024, 1311, 1866, 1575, 2245, 3168, 1045, 2559, 2296, 3907, 2123, 2501, 1062, 3641, 3995, 840, 505, 2281, 3990, 250, 1081, 902, 118, 2195, 1226, 3174, 312, 3844, 2737, 871, 1778, 656, 197, 1523, 3776, 117, 3512, 1464, 2102, 2805, 823, 1754, 167, 2384, 1659, 254, 3568, 868, 3708, 2480, 2586, 2356, 3966, 1, 2442]}
2025-06-21T14:54:23.869368271Z 2025-06-21 14:54:23.869 | DEBUG    | rocket_controller.strategies.strategy:__init__:83 - Initialized final strategy network configuration:
2025-06-21T14:54:23.869407114Z 	{'hostname_prefix': 'AMG_NSGAII_G3T2R0', 'number_of_nodes': 5, 'network_partition': [], 'unl_partition': [], 'transactions': {'genesis': [{'peer_id': 1, 'amount': 100001000000, 'sender_account': 'None', 'destination_account': 'Account1'}, {'peer_id': 1, 'amount': 100001000000, 'sender_account': 'None', 'destination_account': 'Account2'}, {'peer_id': 1, 'amount': 100001000000, 'sender_account': 'None', 'destination_account': 'Account3'}], 'regular': [{'peer_id': 0, 'amount': 80000000000, 'sender_account': 'Account1', 'destination_account': 'Account2', 'time': 2}, {'peer_id': 1, 'amount': 81000000000, 'sender_account': 'Account1', 'destination_account': 'Account3', 'time': 2}, {'peer_id': 2, 'amount': 82000000000, 'sender_account': 'Account1', 'destination_account': 'Account3', 'time': 2}, {'peer_id': 3, 'amount': 83000000000, 'sender_account': 'Account1', 'destination_account': 'Account2', 'time': 2}]}}
2025-06-21T14:54:23.878072443Z 2025-06-21 14:54:23.877 | DEBUG    | rocket_controller.iteration_type:add_iteration:342 - Stopping logLedgerResul;t
2025-06-21T14:54:23.878099765Z 2025-06-21 14:54:23.877 | DEBUG    | rocket_controller.iteration_type:add_iteration:347 - Done stopping logLedgerResul;t
2025-06-21T14:54:23.878845141Z 2025-06-21 14:54:23.878 | INFO     | rocket_controller.iteration_type:add_iteration:359 - Starting iteration 1
2025-06-21T14:54:23.878871221Z 2025-06-21 14:54:23.878 | INFO     | rocket_controller.interceptor_manager:start_new:70 - Starting interceptor
2025-06-21T14:54:23.880499873Z 2025-06-21 14:54:23.880 | INFO     | rocket_controller.iteration_type:_start_transactions:157 - Starting Transaction.
2025-06-21T14:54:43.881294042Z 2025-06-21 14:54:43.880 | INFO     | rocket_controller.iteration_type:_perform_transactions:163 - Waiting for validator nodes to be initialized...
2025-06-21T14:54:53.554356794Z 2025-06-21 14:54:53.553 | INFO     | rocket_controller.strategies.strategy:update_network:124 - Updating the strategy's network information
2025-06-21T14:54:53.882044425Z 2025-06-21 14:54:53.881 | INFO     | rocket_controller.iteration_type:_perform_transactions:167 - Waiting for network to be initialized...
2025-06-21T14:54:53.882112253Z 2025-06-21 14:54:53.881 | INFO     | rocket_controller.iteration_type:_perform_transactions:171 - Waiting for ledger to be available before submitting transaction...
2025-06-21T14:55:10.798577045Z 2025-06-21 14:55:10.798 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 3 validated ledger 2 in 0:00:17.156752
2025-06-21T14:55:10.882080654Z 2025-06-21 14:55:10.881 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 4 validated ledger 2 in 0:00:17.246398
2025-06-21T14:55:11.015493800Z 2025-06-21 14:55:11.015 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 0 validated ledger 2 in 0:00:17.409778
2025-06-21T14:55:11.055086832Z 2025-06-21 14:55:11.054 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 2 validated ledger 2 in 0:00:17.461924
2025-06-21T14:55:12.322598616Z 2025-06-21 14:55:12.322 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 1 validated ledger 2 in 0:00:18.689853
2025-06-21T14:55:13.757695980Z 2025-06-21 14:55:13.757 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 3 validated ledger 3 in 0:00:03.000911
2025-06-21T14:55:13.807250616Z 2025-06-21 14:55:13.806 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 4 validated ledger 3 in 0:00:02.959122
2025-06-21T14:55:13.885447824Z 2025-06-21 14:55:13.885 | INFO     | rocket_controller.iteration_type:_perform_transactions:177 - Attempting to submit 3 Genesis Transactions and 4 Regular Transactions to the network.
2025-06-21T14:55:13.885540910Z 2025-06-21 14:55:13.885 | INFO     | rocket_controller.iteration_type:_perform_transactions:187 - Sending 100001000000 from None to Account1 using peer 1...
2025-06-21T14:55:13.896827184Z 2025-06-21 14:55:13.896 | INFO     | rocket_controller.iteration_type:_perform_transactions:187 - Sending 100001000000 from None to Account2 using peer 1...
2025-06-21T14:55:13.912782398Z 2025-06-21 14:55:13.912 | INFO     | rocket_controller.iteration_type:_perform_transactions:187 - Sending 100001000000 from None to Account3 using peer 1...
2025-06-21T14:55:13.917212336Z 2025-06-21 14:55:13.916 | INFO     | rocket_controller.network_manager:get_account:428 - Creating account Account1 with seed snoavtJU5iDfmJxp4Ac8zzwnkAYcb and address rHvQqQdbi2ESHthEPTk4dqLL6JFEow9Zim
2025-06-21T14:55:13.952661739Z 2025-06-21 14:55:13.952 | INFO     | rocket_controller.network_manager:get_account:428 - Creating account Account3 with seed snxPfSpcs9hUjgGsLx65dAKHLvYzq and address rHQQkm328TfztLZckFdFguYNSKKaffABhC
2025-06-21T14:55:13.974000670Z 2025-06-21 14:55:13.973 | INFO     | rocket_controller.network_manager:get_account:428 - Creating account Account2 with seed ssbHWzRLrZnr8U1LiL3H7Woh8RrfB and address rUNMvSv6EyYrKcNkBKLEmdvfo4qcvkR3jL
2025-06-21T14:55:14.120833856Z 2025-06-21 14:55:14.120 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 0 validated ledger 3 in 0:00:03.014228
2025-06-21T14:55:15.052558959Z 2025-06-21 14:55:15.052 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 2 validated ledger 3 in 0:00:03.970045
2025-06-21T14:55:15.437962154Z 2025-06-21 14:55:15.437 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 1 validated ledger 3 in 0:00:03.002337
