node_id,ledger_seq,goal_ledger_seq,time_to_validation,close_time,ledger_hash,ledger_index
0,3,20,2.929895,803850760,47F32106126538DCF88720CB059992BAEEB603C2889C0EA2D412875D29FA58DC,3
2,3,20,3.000879,803850760,47F32106126538DCF88720CB059992BAEEB603C2889C0EA2D412875D29FA58DC,3
3,3,20,2.976013,803850760,47F32106126538DCF88720CB059992BAEEB603C2889C0EA2D412875D29FA58DC,3
1,3,20,3.999621,803850760,47F32106126538DCF88720CB059992BAEEB603C2889C0EA2D412875D29FA58DC,3
1,2,20,19.750568,803850740,F6F2046019E6AACA6D92E27D51E2299704E786A2DD2423F0774382AAB0B8E86A,2
0,2,20,19.831251,803850740,F6F2046019E6AACA6D92E27D51E2299704E786A2DD2423F0774382AAB0B8E86A,2
2,2,20,20.080050,803850740,F6F2046019E6AACA6D92E27D51E2299704E786A2DD2423F0774382AAB0B8E86A,2
4,2,20,20.180879,803850740,F6F2046019E6AACA6D92E27D51E2299704E786A2DD2423F0774382AAB0B8E86A,2
4,3,20,5.002494,803850760,47F32106126538DCF88720CB059992BAEEB603C2889C0EA2D412875D29FA58DC,3
3,2,20,20.246419,803850740,F6F2046019E6AACA6D92E27D51E2299704E786A2DD2423F0774382AAB0B8E86A,2
1,4,20,3.001185,803850761,13F484FFB201A5F180FCF4F1EEB69EDC43A18B1CD41A727750FE93A1A6E2E9BC,4
0,4,20,4.036834,803850761,13F484FFB201A5F180FCF4F1EEB69EDC43A18B1CD41A727750FE93A1A6E2E9BC,4
2,4,20,4.001910,803850761,13F484FFB201A5F180FCF4F1EEB69EDC43A18B1CD41A727750FE93A1A6E2E9BC,4
3,4,20,4.001114,803850761,13F484FFB201A5F180FCF4F1EEB69EDC43A18B1CD41A727750FE93A1A6E2E9BC,4
4,4,20,3.001514,803850761,13F484FFB201A5F180FCF4F1EEB69EDC43A18B1CD41A727750FE93A1A6E2E9BC,4
0,5,20,4.966653,803850770,911E8306296E4A052A50E6CFEFC90459AD6D783B5681AA96A6C6C6479AC567D1,5
2,5,20,6.002665,803850770,D20F7012CE8175B1FAD91BD9D35750F40D33D63C1770CDCDA83C17E51EAE5AC5,5
4,5,20,5.001559,803850770,D20F7012CE8175B1FAD91BD9D35750F40D33D63C1770CDCDA83C17E51EAE5AC5,5
3,5,20,6.003405,803850770,D20F7012CE8175B1FAD91BD9D35750F40D33D63C1770CDCDA83C17E51EAE5AC5,5
1,5,20,7.003117,803850770,D20F7012CE8175B1FAD91BD9D35750F40D33D63C1770CDCDA83C17E51EAE5AC5,5
1,6,20,3.000756,803850771,B117894CEABF28EA4CC7B4040C535ED0F7FFD5420B31A8858E8FBDF6A129CFD2,6
2,6,20,4.001915,803850771,B117894CEABF28EA4CC7B4040C535ED0F7FFD5420B31A8858E8FBDF6A129CFD2,6
3,6,20,4.003248,803850771,B117894CEABF28EA4CC7B4040C535ED0F7FFD5420B31A8858E8FBDF6A129CFD2,6
4,6,20,5.002509,803850771,B117894CEABF28EA4CC7B4040C535ED0F7FFD5420B31A8858E8FBDF6A129CFD2,6
1,7,20,5.002265,803850780,84C3EBF630F5984C435FA4FE6497B4CDB8B95F1AEDB4E3E37C51B3E049976F1B,7
2,7,20,5.003709,803850780,84C3EBF630F5984C435FA4FE6497B4CDB8B95F1AEDB4E3E37C51B3E049976F1B,7
4,7,20,5.002704,803850780,84C3EBF630F5984C435FA4FE6497B4CDB8B95F1AEDB4E3E37C51B3E049976F1B,7
3,7,20,6.037053,803850780,84C3EBF630F5984C435FA4FE6497B4CDB8B95F1AEDB4E3E37C51B3E049976F1B,7
3,8,20,2.968981,803850781,0A3D58F7A3ACD2C9A2B1872B40AEB96F8BAF65A4B79F763F1C1AA87C48727F80,8
1,8,20,5.001550,803850781,0A3D58F7A3ACD2C9A2B1872B40AEB96F8BAF65A4B79F763F1C1AA87C48727F80,8
2,8,20,5.000512,803850781,0A3D58F7A3ACD2C9A2B1872B40AEB96F8BAF65A4B79F763F1C1AA87C48727F80,8
4,8,20,5.000907,803850781,0A3D58F7A3ACD2C9A2B1872B40AEB96F8BAF65A4B79F763F1C1AA87C48727F80,8
1,9,20,3.001053,803850790,F7811B0AFD550A20E8CF75D8AC69FCBBCEA75812EAC85A44B588E5D66F5B74FC,9
2,9,20,3.000433,803850790,F7811B0AFD550A20E8CF75D8AC69FCBBCEA75812EAC85A44B588E5D66F5B74FC,9
3,9,20,3.999929,803850790,F7811B0AFD550A20E8CF75D8AC69FCBBCEA75812EAC85A44B588E5D66F5B74FC,9
4,9,20,3.002543,803850790,F7811B0AFD550A20E8CF75D8AC69FCBBCEA75812EAC85A44B588E5D66F5B74FC,9
1,10,20,4.000792,803850791,F95A9C2439B8B84FFBA0537674758603CBEDD17860DEAC437BFE47A16F212A2F,10
2,10,20,4.003172,803850791,F95A9C2439B8B84FFBA0537674758603CBEDD17860DEAC437BFE47A16F212A2F,10
4,10,20,2.999858,803850791,F95A9C2439B8B84FFBA0537674758603CBEDD17860DEAC437BFE47A16F212A2F,10
3,10,20,4.017095,803850791,F95A9C2439B8B84FFBA0537674758603CBEDD17860DEAC437BFE47A16F212A2F,10
0,6,20,23.016113,803850771,B117894CEABF28EA4CC7B4040C535ED0F7FFD5420B31A8858E8FBDF6A129CFD2,6
1,11,20,3.001518,803850792,8041EB4F9E99D7716CD7E323B1302537B25F3F708D073F8CA10EB72A41D62C83,11
