peer_id,peer_to_id,ledger_seq,ledger_hash,raw_contents
4,3,2,8cc00863470b5f73bb186efacdba23aa58ff6b151109fc7e0aee477780639455,[]
1,3,2,8cc00863470b5f73bb186efacdba23aa58ff6b151109fc7e0aee477780639455,[]
0,4,2,8cc00863470b5f73bb186efacdba23aa58ff6b151109fc7e0aee477780639455,[]
3,4,2,8cc00863470b5f73bb186efacdba23aa58ff6b151109fc7e0aee477780639455,[]
2,4,2,8cc00863470b5f73bb186efacdba23aa58ff6b151109fc7e0aee477780639455,[]
0,4,3,9df1c8f8ec31d857051d29bc0aa9b85d6542c936c6322baaf1206ab349b7fcc8,[]
3,4,3,9df1c8f8ec31d857051d29bc0aa9b85d6542c936c6322baaf1206ab349b7fcc8,[]
4,2,3,9df1c8f8ec31d857051d29bc0aa9b85d6542c936c6322baaf1206ab349b7fcc8,[]
1,4,3,9df1c8f8ec31d857051d29bc0aa9b85d6542c936c6322baaf1206ab349b7fcc8,[]
2,4,3,9df1c8f8ec31d857051d29bc0aa9b85d6542c936c6322baaf1206ab349b7fcc8,[]
3,2,4,c971cf3a6992af382f7bc639def4d983d18f1b140056395a4fb715a0711ddcb7,[]
4,1,4,c971cf3a6992af382f7bc639def4d983d18f1b140056395a4fb715a0711ddcb7,[]
0,3,4,c971cf3a6992af382f7bc639def4d983d18f1b140056395a4fb715a0711ddcb7,[]
2,3,4,c971cf3a6992af382f7bc639def4d983d18f1b140056395a4fb715a0711ddcb7,[]
1,3,4,c971cf3a6992af382f7bc639def4d983d18f1b140056395a4fb715a0711ddcb7,[]
4,0,5,ecf07646a3d44488aa01a9ef2f52c0470f620eaef787876ee688ad39415f99a1,"['D5F187FB587115191A25576852FDFEBB1F5C21A63F91642119F537D82F5C09E2', 'DE371306F9DCA7D2FF50F86893F5EA20925C19E077321F1EFF43D75621FEC9CC']"
0,2,5,ecf07646a3d44488aa01a9ef2f52c0470f620eaef787876ee688ad39415f99a1,"['D5F187FB587115191A25576852FDFEBB1F5C21A63F91642119F537D82F5C09E2', 'DE371306F9DCA7D2FF50F86893F5EA20925C19E077321F1EFF43D75621FEC9CC']"
2,4,5,ecf07646a3d44488aa01a9ef2f52c0470f620eaef787876ee688ad39415f99a1,"['D5F187FB587115191A25576852FDFEBB1F5C21A63F91642119F537D82F5C09E2', 'DE371306F9DCA7D2FF50F86893F5EA20925C19E077321F1EFF43D75621FEC9CC']"
3,4,5,ecf07646a3d44488aa01a9ef2f52c0470f620eaef787876ee688ad39415f99a1,"['D5F187FB587115191A25576852FDFEBB1F5C21A63F91642119F537D82F5C09E2', 'DE371306F9DCA7D2FF50F86893F5EA20925C19E077321F1EFF43D75621FEC9CC']"
4,2,6,99d8a77621ac63edd731baf2acad447829b033adf7038e5f9e221c9ddd159ba6,['D7EFD4DB130D8FE7BE4E454E26CF9F6FE7878CE99149A0563570D26CFB934636']
1,4,5,59178578e4f47b2292cbfae1981dd4d7a711c4152b9743fd5f22ae7a1e815769,['DE371306F9DCA7D2FF50F86893F5EA20925C19E077321F1EFF43D75621FEC9CC']
2,3,6,99d8a77621ac63edd731baf2acad447829b033adf7038e5f9e221c9ddd159ba6,['D7EFD4DB130D8FE7BE4E454E26CF9F6FE7878CE99149A0563570D26CFB934636']
0,3,6,99d8a77621ac63edd731baf2acad447829b033adf7038e5f9e221c9ddd159ba6,['D7EFD4DB130D8FE7BE4E454E26CF9F6FE7878CE99149A0563570D26CFB934636']
3,4,6,99d8a77621ac63edd731baf2acad447829b033adf7038e5f9e221c9ddd159ba6,['D7EFD4DB130D8FE7BE4E454E26CF9F6FE7878CE99149A0563570D26CFB934636']
4,3,7,8c59d52494b039729785e6edd115358ca1989848a2eb9e075dd7c50df9d4b372,[]
2,4,7,8c59d52494b039729785e6edd115358ca1989848a2eb9e075dd7c50df9d4b372,[]
0,3,7,8c59d52494b039729785e6edd115358ca1989848a2eb9e075dd7c50df9d4b372,[]
3,4,7,8c59d52494b039729785e6edd115358ca1989848a2eb9e075dd7c50df9d4b372,[]
4,3,8,c2f75f8dfd030fe1085e6c4d13259919f0671c6de1dec6b787fe225640d214d6,"['1881FBC9F5E33F09C615F1F83AECD26D111781C28DE15826E21A74C4EC653FE3', '3472AD9342C5FF30CE900070ABE70B93D8E5EF89B4749A5A26D4FF4A10B5249E']"
3,2,8,c2f75f8dfd030fe1085e6c4d13259919f0671c6de1dec6b787fe225640d214d6,"['1881FBC9F5E33F09C615F1F83AECD26D111781C28DE15826E21A74C4EC653FE3', '3472AD9342C5FF30CE900070ABE70B93D8E5EF89B4749A5A26D4FF4A10B5249E']"
2,4,8,c2f75f8dfd030fe1085e6c4d13259919f0671c6de1dec6b787fe225640d214d6,"['1881FBC9F5E33F09C615F1F83AECD26D111781C28DE15826E21A74C4EC653FE3', '3472AD9342C5FF30CE900070ABE70B93D8E5EF89B4749A5A26D4FF4A10B5249E']"
0,4,8,c2f75f8dfd030fe1085e6c4d13259919f0671c6de1dec6b787fe225640d214d6,"['1881FBC9F5E33F09C615F1F83AECD26D111781C28DE15826E21A74C4EC653FE3', '3472AD9342C5FF30CE900070ABE70B93D8E5EF89B4749A5A26D4FF4A10B5249E']"
4,3,9,d32f8281074bbc1707bc396b218e8d590c56ff11a0079c397fb98ec8e55167e7,[]
3,1,9,d32f8281074bbc1707bc396b218e8d590c56ff11a0079c397fb98ec8e55167e7,[]
2,1,9,d32f8281074bbc1707bc396b218e8d590c56ff11a0079c397fb98ec8e55167e7,[]
0,4,9,d32f8281074bbc1707bc396b218e8d590c56ff11a0079c397fb98ec8e55167e7,[]
4,2,10,c2510c5f03c4bf387d3bad7cf3ad1ae6c4d6d3e8a058ee374a36fbc7f216a627,[]
3,1,10,c2510c5f03c4bf387d3bad7cf3ad1ae6c4d6d3e8a058ee374a36fbc7f216a627,[]
2,4,10,c2510c5f03c4bf387d3bad7cf3ad1ae6c4d6d3e8a058ee374a36fbc7f216a627,[]
0,3,10,c2510c5f03c4bf387d3bad7cf3ad1ae6c4d6d3e8a058ee374a36fbc7f216a627,[]
1,4,10,c2510c5f03c4bf387d3bad7cf3ad1ae6c4d6d3e8a058ee374a36fbc7f216a627,[]
4,0,11,c67f0fc04b2f8a4ee3dce1c8be0c8942674a029221de1133a629fe03e507b80e,[]
3,0,11,c67f0fc04b2f8a4ee3dce1c8be0c8942674a029221de1133a629fe03e507b80e,[]
2,3,11,c67f0fc04b2f8a4ee3dce1c8be0c8942674a029221de1133a629fe03e507b80e,[]
1,4,11,c67f0fc04b2f8a4ee3dce1c8be0c8942674a029221de1133a629fe03e507b80e,[]
0,3,11,c67f0fc04b2f8a4ee3dce1c8be0c8942674a029221de1133a629fe03e507b80e,[]
4,2,12,03755cf9c5edff40146a58218424ec28ac8b5656f9e03e0c27c21e7327e171a1,[]
3,4,12,03755cf9c5edff40146a58218424ec28ac8b5656f9e03e0c27c21e7327e171a1,[]
2,4,12,03755cf9c5edff40146a58218424ec28ac8b5656f9e03e0c27c21e7327e171a1,[]
1,4,12,03755cf9c5edff40146a58218424ec28ac8b5656f9e03e0c27c21e7327e171a1,[]
0,2,12,03755cf9c5edff40146a58218424ec28ac8b5656f9e03e0c27c21e7327e171a1,[]
4,3,13,0e3d399ed6fff62e76dfc7e91b2abf2e83fe2e23fd8b9c58bebb14725912f068,[]
3,2,13,0e3d399ed6fff62e76dfc7e91b2abf2e83fe2e23fd8b9c58bebb14725912f068,[]
2,4,13,0e3d399ed6fff62e76dfc7e91b2abf2e83fe2e23fd8b9c58bebb14725912f068,[]
1,0,13,0e3d399ed6fff62e76dfc7e91b2abf2e83fe2e23fd8b9c58bebb14725912f068,[]
0,4,13,0e3d399ed6fff62e76dfc7e91b2abf2e83fe2e23fd8b9c58bebb14725912f068,[]
4,1,14,eaf13c28e8916d4cdd72b9a1b5c468056c8596e64e2165280131fe20e1dba9fe,[]
3,4,14,eaf13c28e8916d4cdd72b9a1b5c468056c8596e64e2165280131fe20e1dba9fe,[]
2,3,14,eaf13c28e8916d4cdd72b9a1b5c468056c8596e64e2165280131fe20e1dba9fe,[]
1,3,14,eaf13c28e8916d4cdd72b9a1b5c468056c8596e64e2165280131fe20e1dba9fe,[]
0,4,14,eaf13c28e8916d4cdd72b9a1b5c468056c8596e64e2165280131fe20e1dba9fe,[]
4,2,15,23263070b1d427ba6fc149284bc6694cbb4dd542b26f51be812d8259ce53b5a1,[]
3,4,15,23263070b1d427ba6fc149284bc6694cbb4dd542b26f51be812d8259ce53b5a1,[]
2,3,15,23263070b1d427ba6fc149284bc6694cbb4dd542b26f51be812d8259ce53b5a1,[]
1,3,15,23263070b1d427ba6fc149284bc6694cbb4dd542b26f51be812d8259ce53b5a1,[]
0,4,15,23263070b1d427ba6fc149284bc6694cbb4dd542b26f51be812d8259ce53b5a1,[]
