2025-06-21T18:04:11.273122384Z 2025-06-21 18:04:11.272 | DEBUG    | rocket_controller.strategies.strategy:__init__:82 - Initialized final strategy parameters:
2025-06-21T18:04:11.273173951Z 	{'encoding': [1611, 2263, 662, 2974, 279, 2361, 1236, 2625, 3974, 872, 3515, 1909, 1775, 1838, 283, 2022, 1764, 3272, 2790, 1737, 1976, 26, 3104, 405, 3365, 3823, 58, 1480, 215, 3846, 3695, 2711, 3411, 3569, 2042, 3835, 995, 832, 93, 1271, 719, 1417, 716, 689, 2481, 3086, 1692, 1853, 1629, 854, 2983, 3509, 3611, 3992, 2550, 777, 3797, 118, 393, 2505, 400, 3175, 167, 220, 922, 1883, 2288, 330, 3706, 213, 1205, 2762, 1469, 1372, 3728, 1201, 2221, 818, 1989, 2943, 2801, 1916, 2166, 1703, 3749, 1599, 1921, 1957, 2028, 75, 3543, 2046, 2704, 3665, 3982, 3097, 1929, 1416, 3459, 1789, 3422, 2364, 726, 1219, 3942, 3977, 2337, 532, 2836, 3577, 359, 3553, 3457, 3762, 1973, 298, 2551, 1388, 1127, 3007, 1246, 1637, 3514, 2171, 3922, 2685, 3708, 1660, 3965, 2818, 1870, 101, 188, 884, 1721, 2603, 2418, 3693, 3238, 2856]}
2025-06-21T18:04:11.273180824Z 2025-06-21 18:04:11.272 | DEBUG    | rocket_controller.strategies.strategy:__init__:83 - Initialized final strategy network configuration:
2025-06-21T18:04:11.273185463Z 	{'hostname_prefix': 'AMG_ProposalElitism_G27T3R0', 'number_of_nodes': 5, 'network_partition': [], 'unl_partition': [], 'transactions': {'genesis': [{'peer_id': 1, 'amount': 100001000000, 'sender_account': 'None', 'destination_account': 'Account1'}, {'peer_id': 1, 'amount': 100001000000, 'sender_account': 'None', 'destination_account': 'Account2'}, {'peer_id': 1, 'amount': 100001000000, 'sender_account': 'None', 'destination_account': 'Account3'}], 'regular': [{'peer_id': 0, 'amount': 80000000000, 'sender_account': 'Account1', 'destination_account': 'Account2', 'time': 2}, {'peer_id': 1, 'amount': 81000000000, 'sender_account': 'Account1', 'destination_account': 'Account3', 'time': 2}, {'peer_id': 2, 'amount': 82000000000, 'sender_account': 'Account1', 'destination_account': 'Account3', 'time': 2}, {'peer_id': 3, 'amount': 83000000000, 'sender_account': 'Account1', 'destination_account': 'Account2', 'time': 2}]}}
2025-06-21T18:04:11.282283195Z 2025-06-21 18:04:11.282 | DEBUG    | rocket_controller.iteration_type:add_iteration:342 - Stopping logLedgerResul;t
2025-06-21T18:04:11.282323360Z 2025-06-21 18:04:11.282 | DEBUG    | rocket_controller.iteration_type:add_iteration:347 - Done stopping logLedgerResul;t
2025-06-21T18:04:11.283055864Z 2025-06-21 18:04:11.282 | INFO     | rocket_controller.iteration_type:add_iteration:359 - Starting iteration 1
2025-06-21T18:04:11.283097613Z 2025-06-21 18:04:11.283 | INFO     | rocket_controller.interceptor_manager:start_new:70 - Starting interceptor
2025-06-21T18:04:11.284628905Z 2025-06-21 18:04:11.284 | INFO     | rocket_controller.iteration_type:_start_transactions:157 - Starting Transaction.
2025-06-21T18:04:31.285442374Z 2025-06-21 18:04:31.284 | INFO     | rocket_controller.iteration_type:_perform_transactions:163 - Waiting for validator nodes to be initialized...
2025-06-21T18:04:42.473914939Z 2025-06-21 18:04:42.473 | INFO     | rocket_controller.strategies.strategy:update_network:124 - Updating the strategy's network information
2025-06-21T18:04:46.286256554Z 2025-06-21 18:04:46.285 | INFO     | rocket_controller.iteration_type:_perform_transactions:167 - Waiting for network to be initialized...
2025-06-21T18:04:46.286419632Z 2025-06-21 18:04:46.286 | INFO     | rocket_controller.iteration_type:_perform_transactions:171 - Waiting for ledger to be available before submitting transaction...
2025-06-21T18:05:00.556094863Z 2025-06-21 18:05:00.555 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 0 validated ledger 2 in 0:00:17.994034
2025-06-21T18:05:00.684639352Z 2025-06-21 18:05:00.684 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 2 validated ledger 2 in 0:00:18.131447
2025-06-21T18:05:00.766045499Z 2025-06-21 18:05:00.765 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 4 validated ledger 2 in 0:00:18.214391
2025-06-21T18:05:00.999458255Z 2025-06-21 18:05:00.999 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 1 validated ledger 2 in 0:00:18.451161
2025-06-21T18:05:01.086121249Z 2025-06-21 18:05:01.085 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 3 validated ledger 2 in 0:00:18.527024
2025-06-21T18:05:02.289330584Z 2025-06-21 18:05:02.288 | INFO     | rocket_controller.iteration_type:_perform_transactions:177 - Attempting to submit 3 Genesis Transactions and 4 Regular Transactions to the network.
2025-06-21T18:05:02.289471370Z 2025-06-21 18:05:02.289 | INFO     | rocket_controller.iteration_type:_perform_transactions:187 - Sending 100001000000 from None to Account1 using peer 1...
2025-06-21T18:05:02.295465090Z 2025-06-21 18:05:02.295 | INFO     | rocket_controller.iteration_type:_perform_transactions:187 - Sending 100001000000 from None to Account2 using peer 1...
2025-06-21T18:05:02.311538154Z 2025-06-21 18:05:02.311 | INFO     | rocket_controller.iteration_type:_perform_transactions:187 - Sending 100001000000 from None to Account3 using peer 1...
2025-06-21T18:05:02.331187983Z 2025-06-21 18:05:02.330 | INFO     | rocket_controller.network_manager:get_account:428 - Creating account Account1 with seed shToiASnLhSunysvEwrkhgmRHxEfc and address rKBGM947pziXv3cobQyp9Kk2S6vtLsQNsr
2025-06-21T18:05:02.352883485Z 2025-06-21 18:05:02.352 | INFO     | rocket_controller.network_manager:get_account:428 - Creating account Account2 with seed snRkaeFRSDsqXJDqp4Hz7ViFyDyxD and address rKenLwLbxv3jmF4nYMGiLwTmK3LpPHSzrq
2025-06-21T18:05:02.375844938Z 2025-06-21 18:05:02.375 | INFO     | rocket_controller.network_manager:get_account:428 - Creating account Account3 with seed sanzHxnxzSAX6mTHdV7XnLZ4ZGr2T and address rKy5NvPXha5NoNqBvMTFRvgik6ineDhEcH
2025-06-21T18:05:03.984214854Z 2025-06-21 18:05:03.983 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 1 validated ledger 3 in 0:00:03.000306
2025-06-21T18:05:04.842851533Z 2025-06-21 18:05:04.842 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 2 validated ledger 3 in 0:00:04.003039
2025-06-21T18:05:05.075519390Z 2025-06-21 18:05:05.075 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 4 validated ledger 3 in 0:00:04.156680
2025-06-21T18:05:05.269916843Z 2025-06-21 18:05:05.269 | INFO     | rocket_controller.iteration_type:perform_transaction:248 - Transaction B9C1B090124B187F8971584EAEF53F6BF466920D450741DCFD3E50E46D40D20D submitted successfully
2025-06-21T18:05:05.508466878Z 2025-06-21 18:05:05.508 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 0 validated ledger 3 in 0:00:05.002426
2025-06-21T18:05:06.081483429Z 2025-06-21 18:05:06.081 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 3 validated ledger 3 in 0:00:04.937492
2025-06-21T18:05:06.423343967Z 2025-06-21 18:05:06.423 | INFO     | rocket_controller.iteration_type:perform_transaction:248 - Transaction 91D39662A3E9900971B63E1F9167C1B5AC28441C49B572B5A4B0171364EA237F submitted successfully
2025-06-21T18:05:07.203217388Z 2025-06-21 18:05:07.202 | INFO     | rocket_controller.iteration_type:perform_transaction:248 - Transaction 74578B204B66858E49E60874EA4B0F9CBAE95F4707FC72A6A2E08E4DC79BAFE2 submitted successfully
2025-06-21T18:05:07.705528308Z 2025-06-21 18:05:07.705 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 4 validated ledger 4 in 0:00:02.794651
2025-06-21T18:05:08.965856292Z 2025-06-21 18:05:08.965 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 1 validated ledger 4 in 0:00:05.001888
2025-06-21T18:05:09.531655198Z 2025-06-21 18:05:09.531 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 0 validated ledger 4 in 0:00:03.999918
2025-06-21T18:05:09.655509869Z 2025-06-21 18:05:09.655 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 2 validated ledger 4 in 0:00:05.001028
2025-06-21T18:05:09.984869327Z 2025-06-21 18:05:09.984 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 3 validated ledger 4 in 0:00:04.003196
2025-06-21T18:05:12.204232942Z 2025-06-21 18:05:12.203 | INFO     | rocket_controller.iteration_type:_perform_transactions:201 - Sending 80000000000 from Account1 to Account2 after 2 seconds using peer 0...
2025-06-21T18:05:12.204735130Z 2025-06-21 18:05:12.204 | INFO     | rocket_controller.iteration_type:_perform_transactions:201 - Sending 81000000000 from Account1 to Account3 after 2 seconds using peer 1...
2025-06-21T18:05:12.205132811Z 2025-06-21 18:05:12.204 | INFO     | rocket_controller.iteration_type:_perform_transactions:201 - Sending 82000000000 from Account1 to Account3 after 2 seconds using peer 2...
2025-06-21T18:05:12.205598891Z 2025-06-21 18:05:12.205 | INFO     | rocket_controller.iteration_type:_perform_transactions:201 - Sending 83000000000 from Account1 to Account2 after 2 seconds using peer 3...
2025-06-21T18:05:12.707098406Z 2025-06-21 18:05:12.706 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 4 validated ledger 5 in 0:00:05.001049
2025-06-21T18:05:12.983959189Z 2025-06-21 18:05:12.983 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 1 validated ledger 5 in 0:00:04.002733
2025-06-21T18:05:13.651068147Z 2025-06-21 18:05:13.650 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 2 validated ledger 5 in 0:00:04.001651
2025-06-21T18:05:14.723642427Z 2025-06-21 18:05:14.723 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 0 validated ledger 5 in 0:00:05.004440
