2025-06-21T19:28:21.558019690Z 2025-06-21 19:28:21.557 | DEBUG    | rocket_controller.strategies.strategy:__init__:82 - Initialized final strategy parameters:
2025-06-21T19:28:21.558078341Z 	{'encoding': [629, 58, 1503, 3695, 657, 1683, 1361, 2989, 1294, 868, 991, 2890, 97, 755, 1702, 82, 3946, 1077, 261, 1558, 1225, 481, 2762, 1296, 2781, 1838, 1798, 1514, 2329, 3315, 347, 2131, 3084, 140, 3827, 2955, 2136, 300, 313, 2871, 599, 1884, 515, 367, 1452, 861, 3673, 2864, 744, 1171, 3949, 2658, 3109, 825, 18, 342, 3337, 671, 3960, 2756, 1725, 1407, 493, 2274, 781, 3728, 2329, 3470, 80, 1724, 1359, 1751, 1418, 2831, 1877, 3633, 3300, 1683, 2684, 1324, 2722, 622, 354, 1179, 3513, 265, 976, 297, 3624, 2265, 2297, 1788, 2425, 471, 360, 2160, 3497, 448, 1717, 1491, 3734, 3354, 549, 2799, 3803, 1591, 591, 648, 491, 1788, 3552, 1914, 280, 1421, 3317, 181, 3328, 687, 396, 333, 2395, 573, 3545, 3831, 1751, 2483, 1887, 2850, 1126, 307, 3601, 2016, 3312, 1083, 2822, 3513, 1714, 3154, 2858, 2482]}
2025-06-21T19:28:21.558093129Z 2025-06-21 19:28:21.557 | DEBUG    | rocket_controller.strategies.strategy:__init__:83 - Initialized final strategy network configuration:
2025-06-21T19:28:21.558103739Z 	{'hostname_prefix': 'AMG_ProposalElitism_G38T5R1', 'number_of_nodes': 5, 'network_partition': [], 'unl_partition': [], 'transactions': {'genesis': [{'peer_id': 1, 'amount': 100001000000, 'sender_account': 'None', 'destination_account': 'Account1'}, {'peer_id': 1, 'amount': 100001000000, 'sender_account': 'None', 'destination_account': 'Account2'}, {'peer_id': 1, 'amount': 100001000000, 'sender_account': 'None', 'destination_account': 'Account3'}], 'regular': [{'peer_id': 0, 'amount': 80000000000, 'sender_account': 'Account1', 'destination_account': 'Account2', 'time': 2}, {'peer_id': 1, 'amount': 81000000000, 'sender_account': 'Account1', 'destination_account': 'Account3', 'time': 2}, {'peer_id': 2, 'amount': 82000000000, 'sender_account': 'Account1', 'destination_account': 'Account3', 'time': 2}, {'peer_id': 3, 'amount': 83000000000, 'sender_account': 'Account1', 'destination_account': 'Account2', 'time': 2}]}}
2025-06-21T19:28:21.566911557Z 2025-06-21 19:28:21.566 | DEBUG    | rocket_controller.iteration_type:add_iteration:342 - Stopping logLedgerResul;t
2025-06-21T19:28:21.566942456Z 2025-06-21 19:28:21.566 | DEBUG    | rocket_controller.iteration_type:add_iteration:347 - Done stopping logLedgerResul;t
2025-06-21T19:28:21.567784095Z 2025-06-21 19:28:21.567 | INFO     | rocket_controller.iteration_type:add_iteration:359 - Starting iteration 1
2025-06-21T19:28:21.567823499Z 2025-06-21 19:28:21.567 | INFO     | rocket_controller.interceptor_manager:start_new:70 - Starting interceptor
2025-06-21T19:28:21.569655167Z 2025-06-21 19:28:21.569 | INFO     | rocket_controller.iteration_type:_start_transactions:157 - Starting Transaction.
2025-06-21T19:28:41.570526074Z 2025-06-21 19:28:41.570 | INFO     | rocket_controller.iteration_type:_perform_transactions:163 - Waiting for validator nodes to be initialized...
2025-06-21T19:29:16.638048436Z 2025-06-21 19:29:16.637 | INFO     | rocket_controller.strategies.strategy:update_network:124 - Updating the strategy's network information
2025-06-21T19:29:21.571920151Z 2025-06-21 19:29:21.571 | INFO     | rocket_controller.iteration_type:_perform_transactions:167 - Waiting for network to be initialized...
2025-06-21T19:29:21.571987728Z 2025-06-21 19:29:21.571 | INFO     | rocket_controller.iteration_type:_perform_transactions:171 - Waiting for ledger to be available before submitting transaction...
2025-06-21T19:29:26.569746543Z 2025-06-21 19:29:26.569 | INFO     | rocket_controller.iteration_type:_timeout_reached:137 - Timeout reached.
2025-06-21T19:29:26.569813690Z 2025-06-21 19:29:26.569 | INFO     | rocket_controller.iteration_type:_timeout_reached:139 - Checking correct setup
2025-06-21T19:29:26.569936582Z 2025-06-21 19:29:26.569 | INFO     | rocket_controller.iteration_type:_timeout_reached:143 - Setup went wrong, resetting entire test.
2025-06-21T19:29:40.278089254Z 2025-06-21 19:29:40.277 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 3 validated ledger 2 in 0:00:23.593070
2025-06-21T19:29:40.881988143Z 2025-06-21 19:29:40.881 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 4 validated ledger 2 in 0:00:24.178784
2025-06-21T19:29:40.970031829Z 2025-06-21 19:29:40.969 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 2 validated ledger 2 in 0:00:24.245366
2025-06-21T19:29:41.038626307Z 2025-06-21 19:29:41.038 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 0 validated ledger 2 in 0:00:24.334350
2025-06-21T19:29:41.119610185Z 2025-06-21 19:29:41.119 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 1 validated ledger 2 in 0:00:24.409795
