peer_id,peer_to_id,ledger_seq,ledger_hash,raw_contents
2,4,2,12cfaa82999865f91aa13636d0bbf66371bbee43826eaa623404401c15d62224,[]
3,2,2,12cfaa82999865f91aa13636d0bbf66371bbee43826eaa623404401c15d62224,[]
4,3,2,12cfaa82999865f91aa13636d0bbf66371bbee43826eaa623404401c15d62224,[]
1,3,2,12cfaa82999865f91aa13636d0bbf66371bbee43826eaa623404401c15d62224,[]
0,3,2,12cfaa82999865f91aa13636d0bbf66371bbee43826eaa623404401c15d62224,[]
3,4,3,f0ef37c33b2dd8fd70196c4dd72319ecafac78c4ee11a1bf80eac4ed27e81787,[]
4,0,3,f0ef37c33b2dd8fd70196c4dd72319ecafac78c4ee11a1bf80eac4ed27e81787,[]
0,3,3,f0ef37c33b2dd8fd70196c4dd72319ecafac78c4ee11a1bf80eac4ed27e81787,[]
2,1,3,f0ef37c33b2dd8fd70196c4dd72319ecafac78c4ee11a1bf80eac4ed27e81787,[]
1,4,3,f0ef37c33b2dd8fd70196c4dd72319ecafac78c4ee11a1bf80eac4ed27e81787,[]
0,3,4,ae1af1612688b4e8c50055ceaf3336b7bcc97a1faf35f8f54d4d1ec833f30228,[]
2,4,4,ae1af1612688b4e8c50055ceaf3336b7bcc97a1faf35f8f54d4d1ec833f30228,[]
3,4,4,ae1af1612688b4e8c50055ceaf3336b7bcc97a1faf35f8f54d4d1ec833f30228,[]
4,3,4,ae1af1612688b4e8c50055ceaf3336b7bcc97a1faf35f8f54d4d1ec833f30228,[]
1,4,4,ae1af1612688b4e8c50055ceaf3336b7bcc97a1faf35f8f54d4d1ec833f30228,[]
0,4,5,77d80c8fe3ace49012be7a14e1d6078c96b6174937381c1753923e3c6cbc9c29,[]
3,4,5,77d80c8fe3ace49012be7a14e1d6078c96b6174937381c1753923e3c6cbc9c29,[]
4,3,5,77d80c8fe3ace49012be7a14e1d6078c96b6174937381c1753923e3c6cbc9c29,[]
2,1,5,77d80c8fe3ace49012be7a14e1d6078c96b6174937381c1753923e3c6cbc9c29,[]
1,3,5,77d80c8fe3ace49012be7a14e1d6078c96b6174937381c1753923e3c6cbc9c29,[]
