node_id,ledger_seq,goal_ledger_seq,time_to_validation,close_time,ledger_hash,ledger_index
1,3,20,2.886695,803889570,450885815FE98223E3D0B7859918DFC64F7368491B009CB68B8FA9A5D8D4B167,3
4,3,20,3.003783,803889570,450885815FE98223E3D0B7859918DFC64F7368491B009CB68B8FA9A5D8D4B167,3
2,3,20,4.001184,803889570,450885815FE98223E3D0B7859918DFC64F7368491B009CB68B8FA9A5D8D4B167,3
0,3,20,3.968399,803889570,450885815FE98223E3D0B7859918DFC64F7368491B009CB68B8FA9A5D8D4B167,3
3,3,20,4.063564,803889570,450885815FE98223E3D0B7859918DFC64F7368491B009CB68B8FA9A5D8D4B167,3
2,2,20,18.815369,803889550,BA90F43EAE93E06E70F6851913FC589C8130270D44B877ECF38F1A476A5510E0,2
0,2,20,18.900150,803889550,BA90F43EAE93E06E70F6851913FC589C8130270D44B877ECF38F1A476A5510E0,2
1,2,20,18.940916,803889550,BA90F43EAE93E06E70F6851913FC589C8130270D44B877ECF38F1A476A5510E0,2
3,2,20,18.982192,803889550,BA90F43EAE93E06E70F6851913FC589C8130270D44B877ECF38F1A476A5510E0,2
4,2,20,19.170069,803889550,BA90F43EAE93E06E70F6851913FC589C8130270D44B877ECF38F1A476A5510E0,2
1,4,20,4.001340,803889571,035454867E509F501FCF4C15EB3817FC14697BA28B18444CFB8CD8645C29B344,4
4,4,20,3.999708,803889571,035454867E509F501FCF4C15EB3817FC14697BA28B18444CFB8CD8645C29B344,4
2,4,20,4.001611,803889571,035454867E509F501FCF4C15EB3817FC14697BA28B18444CFB8CD8645C29B344,4
0,4,20,4.025823,803889571,035454867E509F501FCF4C15EB3817FC14697BA28B18444CFB8CD8645C29B344,4
3,4,20,3.912523,803889571,035454867E509F501FCF4C15EB3817FC14697BA28B18444CFB8CD8645C29B344,4
1,5,20,4.002626,803889580,A30AB916C8B95D54AE55BB40255707B6E56812E7A8B4D02A2010541B28C22CDC,5
4,5,20,4.002744,803889580,A30AB916C8B95D54AE55BB40255707B6E56812E7A8B4D02A2010541B28C22CDC,5
2,5,20,4.001679,803889580,A30AB916C8B95D54AE55BB40255707B6E56812E7A8B4D02A2010541B28C22CDC,5
0,5,20,3.975671,803889580,A30AB916C8B95D54AE55BB40255707B6E56812E7A8B4D02A2010541B28C22CDC,5
3,5,20,3.983228,803889580,A30AB916C8B95D54AE55BB40255707B6E56812E7A8B4D02A2010541B28C22CDC,5
1,6,20,4.000345,803889581,7C9A94816E0A814EA31A5DBD3A63E87E05C48107596591696DDC7006D834CD35,6
4,6,20,4.001959,803889581,7C9A94816E0A814EA31A5DBD3A63E87E05C48107596591696DDC7006D834CD35,6
2,6,20,4.001713,803889581,7C9A94816E0A814EA31A5DBD3A63E87E05C48107596591696DDC7006D834CD35,6
0,6,20,4.013635,803889581,7C9A94816E0A814EA31A5DBD3A63E87E05C48107596591696DDC7006D834CD35,6
3,6,20,4.021065,803889581,7C9A94816E0A814EA31A5DBD3A63E87E05C48107596591696DDC7006D834CD35,6
1,7,20,4.025491,803889590,94B76B24AE848181CAD393AA5C42C3ABC974E9D0ABE07178176E50EEB240B23D,7
2,7,20,4.002792,803889590,94B76B24AE848181CAD393AA5C42C3ABC974E9D0ABE07178176E50EEB240B23D,7
0,7,20,3.995138,803889590,94B76B24AE848181CAD393AA5C42C3ABC974E9D0ABE07178176E50EEB240B23D,7
4,7,20,5.001922,803889590,94B76B24AE848181CAD393AA5C42C3ABC974E9D0ABE07178176E50EEB240B23D,7
3,7,20,4.983537,803889590,94B76B24AE848181CAD393AA5C42C3ABC974E9D0ABE07178176E50EEB240B23D,7
4,8,20,3.001946,803889591,0E58DB7542874133F0EB15DCDEC94158782C29E9316C3B93FD41CBFBA05DAAA2,8
2,8,20,5.001811,803889591,0E58DB7542874133F0EB15DCDEC94158782C29E9316C3B93FD41CBFBA05DAAA2,8
0,8,20,5.011790,803889591,0E58DB7542874133F0EB15DCDEC94158782C29E9316C3B93FD41CBFBA05DAAA2,8
1,8,20,6.075527,803889591,0E58DB7542874133F0EB15DCDEC94158782C29E9316C3B93FD41CBFBA05DAAA2,8
3,8,20,4.051673,803889591,0E58DB7542874133F0EB15DCDEC94158782C29E9316C3B93FD41CBFBA05DAAA2,8
1,9,20,2.902813,803889600,8701EC33684FC1581124F03459FBF439D94A69EBC9A4F65D286D8BB3CF7F3989,9
