2025-06-22T05:20:04.099276862Z 2025-06-22 05:20:04.098 | DEBUG    | rocket_controller.strategies.strategy:__init__:82 - Initialized final strategy parameters:
2025-06-22T05:20:04.099324653Z 	{'encoding': [1632, 2789, 668, 3323, 535, 3887, 3104, 1761, 331, 171, 6, 344, 1708, 3994, 3042, 1936, 907, 3660, 1949, 1185, 3159, 1277, 2543, 259, 120, 2526, 3186, 2846, 3555, 2797, 1637, 1684, 2012, 1128, 578, 2453, 403, 3088, 2037, 124, 1655, 224, 3193, 1616, 1134, 949, 764, 3251, 2693, 2204, 770, 2376, 1262, 2507, 3431, 2248, 2663, 2398, 3695, 442, 2657, 3601, 1959, 489, 2334, 2442, 3905, 3383, 617, 3193, 823, 3770, 3670, 3652, 1350, 1724, 343, 2516, 54, 480, 2896, 3698, 2851, 3216, 2799, 2709, 3474, 2325, 1942, 1745, 3279, 2396, 858, 2328, 2751, 3845, 831, 3183, 3278, 901, 1163, 2663, 449, 3389, 990, 1516, 3134, 2603, 2113, 1077, 387, 466, 3986, 338, 2500, 2542, 1322, 3613, 1713, 753, 1209, 3811, 2389, 2190, 1757, 379, 2522, 422, 3556, 1018, 1190, 3683, 3765, 634, 751, 377, 624, 1962, 694, 768]}
2025-06-22T05:20:04.099357585Z 2025-06-22 05:20:04.099 | DEBUG    | rocket_controller.strategies.strategy:__init__:83 - Initialized final strategy network configuration:
2025-06-22T05:20:04.099362224Z 	{'hostname_prefix': 'AMG_ProposalRoulette_G5T2R0', 'number_of_nodes': 5, 'network_partition': [], 'unl_partition': [], 'transactions': {'genesis': [{'peer_id': 1, 'amount': 100001000000, 'sender_account': 'None', 'destination_account': 'Account1'}, {'peer_id': 1, 'amount': 100001000000, 'sender_account': 'None', 'destination_account': 'Account2'}, {'peer_id': 1, 'amount': 100001000000, 'sender_account': 'None', 'destination_account': 'Account3'}], 'regular': [{'peer_id': 0, 'amount': 80000000000, 'sender_account': 'Account1', 'destination_account': 'Account2', 'time': 2}, {'peer_id': 1, 'amount': 81000000000, 'sender_account': 'Account1', 'destination_account': 'Account3', 'time': 2}, {'peer_id': 2, 'amount': 82000000000, 'sender_account': 'Account1', 'destination_account': 'Account3', 'time': 2}, {'peer_id': 3, 'amount': 83000000000, 'sender_account': 'Account1', 'destination_account': 'Account2', 'time': 2}]}}
2025-06-22T05:20:04.108427736Z 2025-06-22 05:20:04.108 | DEBUG    | rocket_controller.iteration_type:add_iteration:342 - Stopping logLedgerResul;t
2025-06-22T05:20:04.108472581Z 2025-06-22 05:20:04.108 | DEBUG    | rocket_controller.iteration_type:add_iteration:347 - Done stopping logLedgerResul;t
2025-06-22T05:20:04.109131757Z 2025-06-22 05:20:04.108 | INFO     | rocket_controller.iteration_type:add_iteration:359 - Starting iteration 1
2025-06-22T05:20:04.109191820Z 2025-06-22 05:20:04.109 | INFO     | rocket_controller.interceptor_manager:start_new:70 - Starting interceptor
2025-06-22T05:20:04.110965613Z 2025-06-22 05:20:04.110 | INFO     | rocket_controller.iteration_type:_start_transactions:157 - Starting Transaction.
2025-06-22T05:20:24.111757086Z 2025-06-22 05:20:24.111 | INFO     | rocket_controller.iteration_type:_perform_transactions:163 - Waiting for validator nodes to be initialized...
2025-06-22T05:20:40.439019832Z 2025-06-22 05:20:40.438 | INFO     | rocket_controller.strategies.strategy:update_network:124 - Updating the strategy's network information
