2025-06-22T07:24:28.646162183Z 2025-06-22 07:24:28.645 | DEBUG    | rocket_controller.strategies.strategy:__init__:82 - Initialized final strategy parameters:
2025-06-22T07:24:28.646241142Z 	{'encoding': [1631, 3331, 2414, 810, 3590, 985, 1613, 980, 2747, 2639, 184, 576, 894, 213, 2588, 136, 1898, 3294, 1295, 117, 304, 2707, 2965, 43, 3109, 61, 3427, 3667, 3236, 229, 3670, 395, 2637, 3431, 1783, 1313, 2582, 515, 1321, 740, 1436, 770, 3671, 2975, 1119, 1691, 2936, 774, 2727, 2126, 1388, 300, 3553, 178, 2256, 84, 2070, 2026, 827, 1827, 3876, 2029, 1618, 3691, 3984, 846, 3311, 1663, 2533, 874, 1919, 2207, 3626, 276, 1452, 3427, 1641, 3421, 184, 3343, 668, 1624, 1189, 1634, 2965, 1614, 2919, 1326, 2656, 303, 1242, 1282, 2368, 1136, 2670, 1471, 1925, 3894, 76, 3310, 3628, 3045, 3523, 1292, 3065, 3121, 3711, 2797, 673, 2355, 2407, 1641, 2304, 3708, 1200, 2501, 3787, 3048, 937, 2990, 2576, 3456, 309, 3126, 2134, 3981, 496, 2157, 3481, 1712, 410, 2138, 1678, 2560, 3134, 2282, 894, 3692, 1870, 2458]}
2025-06-22T07:24:28.646254778Z 2025-06-22 07:24:28.645 | DEBUG    | rocket_controller.strategies.strategy:__init__:83 - Initialized final strategy network configuration:
2025-06-22T07:24:28.646264075Z 	{'hostname_prefix': 'AMG_ProposalTournament_G21T7R0', 'number_of_nodes': 5, 'network_partition': [], 'unl_partition': [], 'transactions': {'genesis': [{'peer_id': 1, 'amount': 100001000000, 'sender_account': 'None', 'destination_account': 'Account1'}, {'peer_id': 1, 'amount': 100001000000, 'sender_account': 'None', 'destination_account': 'Account2'}, {'peer_id': 1, 'amount': 100001000000, 'sender_account': 'None', 'destination_account': 'Account3'}], 'regular': [{'peer_id': 0, 'amount': 80000000000, 'sender_account': 'Account1', 'destination_account': 'Account2', 'time': 2}, {'peer_id': 1, 'amount': 81000000000, 'sender_account': 'Account1', 'destination_account': 'Account3', 'time': 2}, {'peer_id': 2, 'amount': 82000000000, 'sender_account': 'Account1', 'destination_account': 'Account3', 'time': 2}, {'peer_id': 3, 'amount': 83000000000, 'sender_account': 'Account1', 'destination_account': 'Account2', 'time': 2}]}}
2025-06-22T07:24:28.654622645Z 2025-06-22 07:24:28.654 | DEBUG    | rocket_controller.iteration_type:add_iteration:342 - Stopping logLedgerResul;t
2025-06-22T07:24:28.654690192Z 2025-06-22 07:24:28.654 | DEBUG    | rocket_controller.iteration_type:add_iteration:347 - Done stopping logLedgerResul;t
2025-06-22T07:24:28.655443695Z 2025-06-22 07:24:28.655 | INFO     | rocket_controller.iteration_type:add_iteration:359 - Starting iteration 1
2025-06-22T07:24:28.655477308Z 2025-06-22 07:24:28.655 | INFO     | rocket_controller.interceptor_manager:start_new:70 - Starting interceptor
2025-06-22T07:24:28.656800757Z 2025-06-22 07:24:28.656 | INFO     | rocket_controller.iteration_type:_start_transactions:157 - Starting Transaction.
2025-06-22T07:24:48.657606788Z 2025-06-22 07:24:48.657 | INFO     | rocket_controller.iteration_type:_perform_transactions:163 - Waiting for validator nodes to be initialized...
2025-06-22T07:25:25.223898667Z 2025-06-22 07:25:25.223 | INFO     | rocket_controller.strategies.strategy:update_network:124 - Updating the strategy's network information
2025-06-22T07:25:28.658667715Z 2025-06-22 07:25:28.658 | INFO     | rocket_controller.iteration_type:_perform_transactions:167 - Waiting for network to be initialized...
2025-06-22T07:25:28.658733138Z 2025-06-22 07:25:28.658 | INFO     | rocket_controller.iteration_type:_perform_transactions:171 - Waiting for ledger to be available before submitting transaction...
2025-06-22T07:25:33.657252836Z 2025-06-22 07:25:33.656 | INFO     | rocket_controller.iteration_type:_timeout_reached:137 - Timeout reached.
2025-06-22T07:25:33.657355370Z 2025-06-22 07:25:33.657 | INFO     | rocket_controller.iteration_type:_timeout_reached:139 - Checking correct setup
2025-06-22T07:25:33.657521974Z 2025-06-22 07:25:33.657 | INFO     | rocket_controller.iteration_type:_timeout_reached:143 - Setup went wrong, resetting entire test.
