2025-06-22T08:29:30.760047410Z 2025-06-22 08:29:30.759 | DEBUG    | rocket_controller.strategies.strategy:__init__:82 - Initialized final strategy parameters:
2025-06-22T08:29:30.760120658Z 	{'encoding': [1181, 2562, 213, 1551, 2955, 428, 2259, 706, 1609, 3736, 2679, 3397, 1392, 754, 2192, 69, 1991, 1914, 1688, 133, 2940, 3896, 1815, 1367, 3878, 1489, 831, 711, 1313, 2915, 2217, 983, 2505, 2257, 3735, 3440, 2816, 800, 2041, 1895, 451, 1109, 1865, 749, 3150, 3801, 2963, 1104, 2395, 1259, 3078, 2661, 626, 3914, 1660, 2480, 409, 377, 410, 3399, 3305, 2934, 2084, 2622, 3618, 249, 3181, 3484, 1080, 848, 3463, 2018, 3996, 1579, 200, 442, 3274, 1963, 303, 2899, 2208, 746, 2798, 63, 1818, 3148, 3262, 3715, 3096, 780, 1976, 2232, 3795, 2041, 1335, 2623, 2717, 2232, 3282, 2216, 3951, 766, 1839, 336, 853, 2592, 2669, 3873, 1778, 2172, 570, 2865, 3457, 2920, 529, 197, 2074, 1798, 2253, 3732, 929, 3197, 2740, 114, 169, 1017, 3837, 2949, 3454, 2081, 1929, 2413, 2277, 460, 2109, 1438, 542, 1057, 2075, 1967]}
2025-06-22T08:29:30.760134183Z 2025-06-22 08:29:30.759 | DEBUG    | rocket_controller.strategies.strategy:__init__:83 - Initialized final strategy network configuration:
2025-06-22T08:29:30.760143451Z 	{'hostname_prefix': 'AMG_ProposalTournament_G28T6R0', 'number_of_nodes': 5, 'network_partition': [], 'unl_partition': [], 'transactions': {'genesis': [{'peer_id': 1, 'amount': 100001000000, 'sender_account': 'None', 'destination_account': 'Account1'}, {'peer_id': 1, 'amount': 100001000000, 'sender_account': 'None', 'destination_account': 'Account2'}, {'peer_id': 1, 'amount': 100001000000, 'sender_account': 'None', 'destination_account': 'Account3'}], 'regular': [{'peer_id': 0, 'amount': 80000000000, 'sender_account': 'Account1', 'destination_account': 'Account2', 'time': 2}, {'peer_id': 1, 'amount': 81000000000, 'sender_account': 'Account1', 'destination_account': 'Account3', 'time': 2}, {'peer_id': 2, 'amount': 82000000000, 'sender_account': 'Account1', 'destination_account': 'Account3', 'time': 2}, {'peer_id': 3, 'amount': 83000000000, 'sender_account': 'Account1', 'destination_account': 'Account2', 'time': 2}]}}
2025-06-22T08:29:30.768522437Z 2025-06-22 08:29:30.768 | DEBUG    | rocket_controller.iteration_type:add_iteration:342 - Stopping logLedgerResul;t
2025-06-22T08:29:30.768599773Z 2025-06-22 08:29:30.768 | DEBUG    | rocket_controller.iteration_type:add_iteration:347 - Done stopping logLedgerResul;t
2025-06-22T08:29:30.769263665Z 2025-06-22 08:29:30.769 | INFO     | rocket_controller.iteration_type:add_iteration:359 - Starting iteration 1
2025-06-22T08:29:30.769357893Z 2025-06-22 08:29:30.769 | INFO     | rocket_controller.interceptor_manager:start_new:70 - Starting interceptor
2025-06-22T08:29:30.770748897Z 2025-06-22 08:29:30.770 | INFO     | rocket_controller.iteration_type:_start_transactions:157 - Starting Transaction.
2025-06-22T08:29:47.710543151Z 2025-06-22 08:29:47.710 | INFO     | rocket_controller.strategies.strategy:update_network:124 - Updating the strategy's network information
2025-06-22T08:29:50.771402336Z 2025-06-22 08:29:50.771 | INFO     | rocket_controller.iteration_type:_perform_transactions:163 - Waiting for validator nodes to be initialized...
2025-06-22T08:29:50.771489731Z 2025-06-22 08:29:50.771 | INFO     | rocket_controller.iteration_type:_perform_transactions:167 - Waiting for network to be initialized...
2025-06-22T08:29:50.771544324Z 2025-06-22 08:29:50.771 | INFO     | rocket_controller.iteration_type:_perform_transactions:171 - Waiting for ledger to be available before submitting transaction...
2025-06-22T08:30:10.109367434Z 2025-06-22 08:30:10.109 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 1 validated ledger 2 in 0:00:22.319869
2025-06-22T08:30:10.845399035Z 2025-06-22 08:30:10.845 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 2 validated ledger 2 in 0:00:23.064386
2025-06-22T08:30:10.893223685Z 2025-06-22 08:30:10.892 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 0 validated ledger 2 in 0:00:23.137752
2025-06-22T08:30:10.938411852Z 2025-06-22 08:30:10.938 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 4 validated ledger 2 in 0:00:23.185007
2025-06-22T08:30:11.041159263Z 2025-06-22 08:30:11.040 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 3 validated ledger 2 in 0:00:23.281333
2025-06-22T08:30:12.777625301Z 2025-06-22 08:30:12.777 | INFO     | rocket_controller.iteration_type:_perform_transactions:177 - Attempting to submit 3 Genesis Transactions and 4 Regular Transactions to the network.
2025-06-22T08:30:12.777689673Z 2025-06-22 08:30:12.777 | INFO     | rocket_controller.iteration_type:_perform_transactions:187 - Sending 100001000000 from None to Account1 using peer 1...
2025-06-22T08:30:12.783638575Z 2025-06-22 08:30:12.783 | INFO     | rocket_controller.iteration_type:_perform_transactions:187 - Sending 100001000000 from None to Account2 using peer 1...
