peer_id,peer_to_id,ledger_seq,ledger_hash,raw_contents
2,4,2,33401bd03314f8a870d48673ca9ff9a2bcb40ccdc4b6c74824f01821f9bca5b4,[]
1,4,2,33401bd03314f8a870d48673ca9ff9a2bcb40ccdc4b6c74824f01821f9bca5b4,[]
3,4,2,33401bd03314f8a870d48673ca9ff9a2bcb40ccdc4b6c74824f01821f9bca5b4,[]
0,3,2,33401bd03314f8a870d48673ca9ff9a2bcb40ccdc4b6c74824f01821f9bca5b4,[]
4,3,2,33401bd03314f8a870d48673ca9ff9a2bcb40ccdc4b6c74824f01821f9bca5b4,[]
0,4,3,38e7ce24afd51fe310e05b7190b70bbd75a5b9218cd97600f5c0e892c73e0523,[]
2,3,3,38e7ce24afd51fe310e05b7190b70bbd75a5b9218cd97600f5c0e892c73e0523,[]
1,4,3,38e7ce24afd51fe310e05b7190b70bbd75a5b9218cd97600f5c0e892c73e0523,[]
3,4,3,38e7ce24afd51fe310e05b7190b70bbd75a5b9218cd97600f5c0e892c73e0523,[]
4,3,3,38e7ce24afd51fe310e05b7190b70bbd75a5b9218cd97600f5c0e892c73e0523,[]
0,3,4,737b557752a01d84e85eb1ac7fe940f2214a2ce4cfb22486d068c24be3042eb3,[]
2,3,4,737b557752a01d84e85eb1ac7fe940f2214a2ce4cfb22486d068c24be3042eb3,[]
1,3,4,737b557752a01d84e85eb1ac7fe940f2214a2ce4cfb22486d068c24be3042eb3,[]
3,2,4,737b557752a01d84e85eb1ac7fe940f2214a2ce4cfb22486d068c24be3042eb3,[]
4,2,4,737b557752a01d84e85eb1ac7fe940f2214a2ce4cfb22486d068c24be3042eb3,[]
0,4,5,a6c40f4d4293f48864630739ee673c037388e47c0a85eacee0e87b1989508d95,"['1AA4B2C0DFC9D1F041695057331B6D3F00FFC5BF328B60945E900BA2A397BED0', '654F3CC681880C549A337BF5B25DFD40601BA331A0337B852AA33804E955FFF3', '8654DA0338C29D224BDF987F7F11A373C8AB2EF369A188FF2E3A55431EE7837F']"
2,1,5,a6c40f4d4293f48864630739ee673c037388e47c0a85eacee0e87b1989508d95,"['1AA4B2C0DFC9D1F041695057331B6D3F00FFC5BF328B60945E900BA2A397BED0', '654F3CC681880C549A337BF5B25DFD40601BA331A0337B852AA33804E955FFF3', '8654DA0338C29D224BDF987F7F11A373C8AB2EF369A188FF2E3A55431EE7837F']"
1,4,5,a6c40f4d4293f48864630739ee673c037388e47c0a85eacee0e87b1989508d95,"['1AA4B2C0DFC9D1F041695057331B6D3F00FFC5BF328B60945E900BA2A397BED0', '654F3CC681880C549A337BF5B25DFD40601BA331A0337B852AA33804E955FFF3', '8654DA0338C29D224BDF987F7F11A373C8AB2EF369A188FF2E3A55431EE7837F']"
3,2,5,a6c40f4d4293f48864630739ee673c037388e47c0a85eacee0e87b1989508d95,"['1AA4B2C0DFC9D1F041695057331B6D3F00FFC5BF328B60945E900BA2A397BED0', '654F3CC681880C549A337BF5B25DFD40601BA331A0337B852AA33804E955FFF3', '8654DA0338C29D224BDF987F7F11A373C8AB2EF369A188FF2E3A55431EE7837F']"
4,3,5,a6c40f4d4293f48864630739ee673c037388e47c0a85eacee0e87b1989508d95,"['1AA4B2C0DFC9D1F041695057331B6D3F00FFC5BF328B60945E900BA2A397BED0', '654F3CC681880C549A337BF5B25DFD40601BA331A0337B852AA33804E955FFF3', '8654DA0338C29D224BDF987F7F11A373C8AB2EF369A188FF2E3A55431EE7837F']"
0,4,6,0156a4fdae90e42b55263ad741a869d203f3766658892dfec107e56fda68388d,[]
2,4,6,0156a4fdae90e42b55263ad741a869d203f3766658892dfec107e56fda68388d,[]
1,0,6,0156a4fdae90e42b55263ad741a869d203f3766658892dfec107e56fda68388d,[]
3,4,6,0156a4fdae90e42b55263ad741a869d203f3766658892dfec107e56fda68388d,[]
4,3,6,0156a4fdae90e42b55263ad741a869d203f3766658892dfec107e56fda68388d,[]
0,4,7,993951b1e96fc38db4da8ccfcdf35ada028d8241bceff6b2f93c12108b7f3ad2,['9924BF4B03028E1176A77E152546839D8E752DF9C860FC540C0956BF36ACFFAC']
3,2,7,993951b1e96fc38db4da8ccfcdf35ada028d8241bceff6b2f93c12108b7f3ad2,['9924BF4B03028E1176A77E152546839D8E752DF9C860FC540C0956BF36ACFFAC']
4,3,7,993951b1e96fc38db4da8ccfcdf35ada028d8241bceff6b2f93c12108b7f3ad2,['9924BF4B03028E1176A77E152546839D8E752DF9C860FC540C0956BF36ACFFAC']
2,4,7,993951b1e96fc38db4da8ccfcdf35ada028d8241bceff6b2f93c12108b7f3ad2,['9924BF4B03028E1176A77E152546839D8E752DF9C860FC540C0956BF36ACFFAC']
1,3,7,993951b1e96fc38db4da8ccfcdf35ada028d8241bceff6b2f93c12108b7f3ad2,['9924BF4B03028E1176A77E152546839D8E752DF9C860FC540C0956BF36ACFFAC']
0,4,8,2ac7c90aa2c3ee956b2b08a061ed390a3f3998c56eca8c633759814a85f1f99c,[]
2,3,8,2ac7c90aa2c3ee956b2b08a061ed390a3f3998c56eca8c633759814a85f1f99c,[]
1,3,8,2ac7c90aa2c3ee956b2b08a061ed390a3f3998c56eca8c633759814a85f1f99c,[]
3,0,8,2ac7c90aa2c3ee956b2b08a061ed390a3f3998c56eca8c633759814a85f1f99c,[]
4,2,8,2ac7c90aa2c3ee956b2b08a061ed390a3f3998c56eca8c633759814a85f1f99c,[]
0,4,9,406d123e017768f6c29fb52bf5fc186b4c502162ac886cf2d39d5f2a166073d2,[]
2,0,9,406d123e017768f6c29fb52bf5fc186b4c502162ac886cf2d39d5f2a166073d2,[]
1,0,9,406d123e017768f6c29fb52bf5fc186b4c502162ac886cf2d39d5f2a166073d2,[]
3,2,9,406d123e017768f6c29fb52bf5fc186b4c502162ac886cf2d39d5f2a166073d2,[]
4,2,9,406d123e017768f6c29fb52bf5fc186b4c502162ac886cf2d39d5f2a166073d2,[]
0,4,10,ac8fe85036f645f17cae0ed13f06023429d1c5a9776e19b0e178883c1d3b0b26,[]
2,0,10,ac8fe85036f645f17cae0ed13f06023429d1c5a9776e19b0e178883c1d3b0b26,[]
1,2,10,ac8fe85036f645f17cae0ed13f06023429d1c5a9776e19b0e178883c1d3b0b26,[]
3,2,10,ac8fe85036f645f17cae0ed13f06023429d1c5a9776e19b0e178883c1d3b0b26,[]
4,0,10,ac8fe85036f645f17cae0ed13f06023429d1c5a9776e19b0e178883c1d3b0b26,[]
0,2,11,ebe6080044b30df1bc17ca75bf3e76bf785bd3ac1a53e5f9215c6bac3b521213,[]
2,4,11,ebe6080044b30df1bc17ca75bf3e76bf785bd3ac1a53e5f9215c6bac3b521213,[]
1,4,11,ebe6080044b30df1bc17ca75bf3e76bf785bd3ac1a53e5f9215c6bac3b521213,[]
3,4,11,ebe6080044b30df1bc17ca75bf3e76bf785bd3ac1a53e5f9215c6bac3b521213,[]
4,3,11,ebe6080044b30df1bc17ca75bf3e76bf785bd3ac1a53e5f9215c6bac3b521213,[]
0,1,12,ea12a5f92b334d9556d743e90d0981e3f0bc72da04b3781bcebb842b4ad12d15,[]
2,3,12,ea12a5f92b334d9556d743e90d0981e3f0bc72da04b3781bcebb842b4ad12d15,[]
1,3,12,ea12a5f92b334d9556d743e90d0981e3f0bc72da04b3781bcebb842b4ad12d15,[]
3,4,12,ea12a5f92b334d9556d743e90d0981e3f0bc72da04b3781bcebb842b4ad12d15,[]
4,2,12,ea12a5f92b334d9556d743e90d0981e3f0bc72da04b3781bcebb842b4ad12d15,[]
0,3,13,1d9cb1718d3caaf0f53ae720d3a0a4b73fc90bb11b1b95b4b0ba5554691a54bf,[]
2,0,13,1d9cb1718d3caaf0f53ae720d3a0a4b73fc90bb11b1b95b4b0ba5554691a54bf,[]
1,3,13,1d9cb1718d3caaf0f53ae720d3a0a4b73fc90bb11b1b95b4b0ba5554691a54bf,[]
3,2,13,1d9cb1718d3caaf0f53ae720d3a0a4b73fc90bb11b1b95b4b0ba5554691a54bf,[]
4,2,13,1d9cb1718d3caaf0f53ae720d3a0a4b73fc90bb11b1b95b4b0ba5554691a54bf,[]
0,3,14,77c245ea3e87ab4ab5493d3d20e5f64a24e14cb379158bc03ce3ca8b0970c2d4,[]
2,3,14,77c245ea3e87ab4ab5493d3d20e5f64a24e14cb379158bc03ce3ca8b0970c2d4,[]
1,4,14,77c245ea3e87ab4ab5493d3d20e5f64a24e14cb379158bc03ce3ca8b0970c2d4,[]
3,4,14,77c245ea3e87ab4ab5493d3d20e5f64a24e14cb379158bc03ce3ca8b0970c2d4,[]
4,0,14,77c245ea3e87ab4ab5493d3d20e5f64a24e14cb379158bc03ce3ca8b0970c2d4,[]
0,4,15,c0476e08118518abeefbd219b0c35d2b583cc152f7615869c356d4b11462c4b5,[]
2,4,15,c0476e08118518abeefbd219b0c35d2b583cc152f7615869c356d4b11462c4b5,[]
