node_id,ledger_seq,goal_ledger_seq,time_to_validation,close_time,ledger_hash,ledger_index
1,3,20,2.946754,803861780,5C76F98DC784340CFD463AC2B576107773E418C7355E2D32367CDEE4C873E709,3
2,3,20,3.081351,803861780,5C76F98DC784340CFD463AC2B576107773E418C7355E2D32367CDEE4C873E709,3
4,3,20,4.000941,803861780,5C76F98DC784340CFD463AC2B576107773E418C7355E2D32367CDEE4C873E709,3
0,3,20,4.002275,803861780,5C76F98DC784340CFD463AC2B576107773E418C7355E2D32367CDEE4C873E709,3
3,2,20,22.950275,803861760,21AC69B333C4EBA58CEEE9DC72335E18ECFF1C2F7DB2B671D886BDA1FCF4BA22,2
3,3,20,4.999711,803861780,5C76F98DC784340CFD463AC2B576107773E418C7355E2D32367CDEE4C873E709,3
4,2,20,23.129165,803861760,21AC69B333C4EBA58CEEE9DC72335E18ECFF1C2F7DB2B671D886BDA1FCF4BA22,2
0,2,20,23.505631,803861760,21AC69B333C4EBA58CEEE9DC72335E18ECFF1C2F7DB2B671D886BDA1FCF4BA22,2
2,2,20,23.584355,803861760,21AC69B333C4EBA58CEEE9DC72335E18ECFF1C2F7DB2B671D886BDA1FCF4BA22,2
1,2,20,23.645204,803861760,21AC69B333C4EBA58CEEE9DC72335E18ECFF1C2F7DB2B671D886BDA1FCF4BA22,2
2,4,20,3.928579,803861781,BD2B187C51728C37141802E45EB3BE107C6A00CDB773FA6677C15629D66AFEBB,4
1,4,20,4.097885,803861781,BD2B187C51728C37141802E45EB3BE107C6A00CDB773FA6677C15629D66AFEBB,4
3,4,20,3.000484,803861781,BD2B187C51728C37141802E45EB3BE107C6A00CDB773FA6677C15629D66AFEBB,4
4,4,20,4.000153,803861781,BD2B187C51728C37141802E45EB3BE107C6A00CDB773FA6677C15629D66AFEBB,4
0,4,20,4.001240,803861781,BD2B187C51728C37141802E45EB3BE107C6A00CDB773FA6677C15629D66AFEBB,4
2,5,20,4.001554,803861790,1042A09F4F619B25E692D19451401F4CBC74F6B8922951FFD6F9D453298F9156,5
1,5,20,3.969134,803861790,1042A09F4F619B25E692D19451401F4CBC74F6B8922951FFD6F9D453298F9156,5
4,5,20,4.002295,803861790,1042A09F4F619B25E692D19451401F4CBC74F6B8922951FFD6F9D453298F9156,5
0,5,20,5.000363,803861790,1042A09F4F619B25E692D19451401F4CBC74F6B8922951FFD6F9D453298F9156,5
3,5,20,7.004125,803861790,1042A09F4F619B25E692D19451401F4CBC74F6B8922951FFD6F9D453298F9156,5
2,6,20,4.001983,803861791,2EDB05C9B11EE9C643CAF2D3E451D40130187CC34E8BCEFA717E94648225A4C9,6
1,6,20,3.979978,803861791,2EDB05C9B11EE9C643CAF2D3E451D40130187CC34E8BCEFA717E94648225A4C9,6
