peer_id,peer_to_id,ledger_seq,ledger_hash,raw_contents
2,0,2,fbe0b14a6fc97e7891548bd6580787b4d0f5378610ca2ed00372e0d6ad81273b,[]
3,2,2,fbe0b14a6fc97e7891548bd6580787b4d0f5378610ca2ed00372e0d6ad81273b,[]
0,3,2,fbe0b14a6fc97e7891548bd6580787b4d0f5378610ca2ed00372e0d6ad81273b,[]
1,4,2,fbe0b14a6fc97e7891548bd6580787b4d0f5378610ca2ed00372e0d6ad81273b,[]
4,3,2,fbe0b14a6fc97e7891548bd6580787b4d0f5378610ca2ed00372e0d6ad81273b,[]
2,4,3,6e08ee6629be8728283bef0cbde6ee05f45c3461424bfc81b716c3435e314454,[]
3,4,3,6e08ee6629be8728283bef0cbde6ee05f45c3461424bfc81b716c3435e314454,[]
0,3,3,6e08ee6629be8728283bef0cbde6ee05f45c3461424bfc81b716c3435e314454,[]
1,3,3,6e08ee6629be8728283bef0cbde6ee05f45c3461424bfc81b716c3435e314454,[]
4,2,3,6e08ee6629be8728283bef0cbde6ee05f45c3461424bfc81b716c3435e314454,[]
2,4,4,fe68bdc3de9dfd9551e66439e2d858e275acbac971dcfa66360f2658a78280fc,[]
3,4,4,fe68bdc3de9dfd9551e66439e2d858e275acbac971dcfa66360f2658a78280fc,[]
0,2,4,fe68bdc3de9dfd9551e66439e2d858e275acbac971dcfa66360f2658a78280fc,[]
1,4,4,fe68bdc3de9dfd9551e66439e2d858e275acbac971dcfa66360f2658a78280fc,[]
4,3,4,fe68bdc3de9dfd9551e66439e2d858e275acbac971dcfa66360f2658a78280fc,[]
2,1,5,9be8eeb0629dcd7d7e150ad086f9ca822deb5bec118566fd48f5494e6939be14,[]
3,4,5,9be8eeb0629dcd7d7e150ad086f9ca822deb5bec118566fd48f5494e6939be14,[]
0,4,5,9be8eeb0629dcd7d7e150ad086f9ca822deb5bec118566fd48f5494e6939be14,[]
4,2,5,9be8eeb0629dcd7d7e150ad086f9ca822deb5bec118566fd48f5494e6939be14,[]
1,2,5,9be8eeb0629dcd7d7e150ad086f9ca822deb5bec118566fd48f5494e6939be14,[]
2,1,6,db13ee2e4bebd650c0c66e43a56e3a7d8112cb0b5e968317a904da04ebe6462f,"['3C3B17494B4020BDEAB1E4446612CCC6F7DFEDD176C64DD1466DBA6D15F0646E', '6D8CA95BD090468F097D92974D1D89D2C08BE8537A002A2007605AB03ED70ED4', '977E92C170E01AC9A1A032225EA879452186F8C4ECF6387A8E31A56F03625880']"
3,4,6,db13ee2e4bebd650c0c66e43a56e3a7d8112cb0b5e968317a904da04ebe6462f,"['3C3B17494B4020BDEAB1E4446612CCC6F7DFEDD176C64DD1466DBA6D15F0646E', '6D8CA95BD090468F097D92974D1D89D2C08BE8537A002A2007605AB03ED70ED4', '977E92C170E01AC9A1A032225EA879452186F8C4ECF6387A8E31A56F03625880']"
4,3,6,db13ee2e4bebd650c0c66e43a56e3a7d8112cb0b5e968317a904da04ebe6462f,"['3C3B17494B4020BDEAB1E4446612CCC6F7DFEDD176C64DD1466DBA6D15F0646E', '6D8CA95BD090468F097D92974D1D89D2C08BE8537A002A2007605AB03ED70ED4', '977E92C170E01AC9A1A032225EA879452186F8C4ECF6387A8E31A56F03625880']"
0,4,6,db13ee2e4bebd650c0c66e43a56e3a7d8112cb0b5e968317a904da04ebe6462f,"['3C3B17494B4020BDEAB1E4446612CCC6F7DFEDD176C64DD1466DBA6D15F0646E', '6D8CA95BD090468F097D92974D1D89D2C08BE8537A002A2007605AB03ED70ED4', '977E92C170E01AC9A1A032225EA879452186F8C4ECF6387A8E31A56F03625880']"
1,3,6,db13ee2e4bebd650c0c66e43a56e3a7d8112cb0b5e968317a904da04ebe6462f,"['3C3B17494B4020BDEAB1E4446612CCC6F7DFEDD176C64DD1466DBA6D15F0646E', '6D8CA95BD090468F097D92974D1D89D2C08BE8537A002A2007605AB03ED70ED4', '977E92C170E01AC9A1A032225EA879452186F8C4ECF6387A8E31A56F03625880']"
2,0,7,45dcc71a0907dfd3fcebe380731924f87798ed9a13b4c86c6498a9989b816446,[]
3,2,7,45dcc71a0907dfd3fcebe380731924f87798ed9a13b4c86c6498a9989b816446,[]
4,2,7,45dcc71a0907dfd3fcebe380731924f87798ed9a13b4c86c6498a9989b816446,[]
0,4,7,45dcc71a0907dfd3fcebe380731924f87798ed9a13b4c86c6498a9989b816446,[]
1,3,7,45dcc71a0907dfd3fcebe380731924f87798ed9a13b4c86c6498a9989b816446,[]
2,4,8,7f53831b291e10bfb0217c556019177fbe31d7841ac118682b6764e2151ee1c8,['1276736C8F55AC19790BD33364B16BCFB006D38B533871A06D22DDC23474F02C']
3,2,8,c923eaa39d89981fe3e53c2c7c70bad9ca07fa6c6559b0c330c3d3a5f42165bd,['5836BD70F70420022D390133498C068D441706C0A160DD86827E6200628F4DBB']
4,3,8,c923eaa39d89981fe3e53c2c7c70bad9ca07fa6c6559b0c330c3d3a5f42165bd,['5836BD70F70420022D390133498C068D441706C0A160DD86827E6200628F4DBB']
0,3,8,c923eaa39d89981fe3e53c2c7c70bad9ca07fa6c6559b0c330c3d3a5f42165bd,['5836BD70F70420022D390133498C068D441706C0A160DD86827E6200628F4DBB']
1,4,8,c923eaa39d89981fe3e53c2c7c70bad9ca07fa6c6559b0c330c3d3a5f42165bd,['5836BD70F70420022D390133498C068D441706C0A160DD86827E6200628F4DBB']
4,2,9,216f7cc3253d9df0cfead3869fb3e11644954b76028b931b2d3fc78c5bf5dfee,[]
0,4,9,216f7cc3253d9df0cfead3869fb3e11644954b76028b931b2d3fc78c5bf5dfee,[]
1,4,9,216f7cc3253d9df0cfead3869fb3e11644954b76028b931b2d3fc78c5bf5dfee,[]
3,4,9,216f7cc3253d9df0cfead3869fb3e11644954b76028b931b2d3fc78c5bf5dfee,[]
0,4,10,176fb67d303c7858ac76a86a7894de6b88816174d4cd0f2b2229f1331f26470b,[]
1,3,10,176fb67d303c7858ac76a86a7894de6b88816174d4cd0f2b2229f1331f26470b,[]
4,2,10,176fb67d303c7858ac76a86a7894de6b88816174d4cd0f2b2229f1331f26470b,[]
2,3,9,216f7cc3253d9df0cfead3869fb3e11644954b76028b931b2d3fc78c5bf5dfee,[]
3,1,10,176fb67d303c7858ac76a86a7894de6b88816174d4cd0f2b2229f1331f26470b,[]
2,3,10,176fb67d303c7858ac76a86a7894de6b88816174d4cd0f2b2229f1331f26470b,[]
0,3,11,9a0a4280aca766df6748ffff09951fa23c9e1407a31be3a8b60f511c09115fcd,[]
1,2,11,9a0a4280aca766df6748ffff09951fa23c9e1407a31be3a8b60f511c09115fcd,[]
4,1,11,9a0a4280aca766df6748ffff09951fa23c9e1407a31be3a8b60f511c09115fcd,[]
3,1,11,9a0a4280aca766df6748ffff09951fa23c9e1407a31be3a8b60f511c09115fcd,[]
2,4,11,9a0a4280aca766df6748ffff09951fa23c9e1407a31be3a8b60f511c09115fcd,[]
0,3,12,d5a8fbec0e0c6bdc5e80ac8471232ae6afdd07115d5d36dec22cf9c9bae40372,[]
1,4,12,d5a8fbec0e0c6bdc5e80ac8471232ae6afdd07115d5d36dec22cf9c9bae40372,[]
4,2,12,d5a8fbec0e0c6bdc5e80ac8471232ae6afdd07115d5d36dec22cf9c9bae40372,[]
2,3,12,d5a8fbec0e0c6bdc5e80ac8471232ae6afdd07115d5d36dec22cf9c9bae40372,[]
3,2,12,d5a8fbec0e0c6bdc5e80ac8471232ae6afdd07115d5d36dec22cf9c9bae40372,[]
0,2,13,affda1a7e876de9cd778ba9ced2d344ea6b85d1e9e5a9294aa6f5d5b563fb269,[]
1,3,13,affda1a7e876de9cd778ba9ced2d344ea6b85d1e9e5a9294aa6f5d5b563fb269,[]
4,1,13,affda1a7e876de9cd778ba9ced2d344ea6b85d1e9e5a9294aa6f5d5b563fb269,[]
2,3,13,affda1a7e876de9cd778ba9ced2d344ea6b85d1e9e5a9294aa6f5d5b563fb269,[]
3,4,13,affda1a7e876de9cd778ba9ced2d344ea6b85d1e9e5a9294aa6f5d5b563fb269,[]
0,3,14,46628335f7a0881aab6452159c6e305a1e923897b09fae6efd3356f1ef51ca46,[]
1,3,14,46628335f7a0881aab6452159c6e305a1e923897b09fae6efd3356f1ef51ca46,[]
4,3,14,46628335f7a0881aab6452159c6e305a1e923897b09fae6efd3356f1ef51ca46,[]
2,1,14,46628335f7a0881aab6452159c6e305a1e923897b09fae6efd3356f1ef51ca46,[]
3,4,14,46628335f7a0881aab6452159c6e305a1e923897b09fae6efd3356f1ef51ca46,[]
0,4,15,4533dc6121bf261d42be5160ec4ca08c94558dead15f5eedbdfab35d65549cf0,[]
1,4,15,4533dc6121bf261d42be5160ec4ca08c94558dead15f5eedbdfab35d65549cf0,[]
4,0,15,4533dc6121bf261d42be5160ec4ca08c94558dead15f5eedbdfab35d65549cf0,[]
2,3,15,4533dc6121bf261d42be5160ec4ca08c94558dead15f5eedbdfab35d65549cf0,[]
3,2,15,4533dc6121bf261d42be5160ec4ca08c94558dead15f5eedbdfab35d65549cf0,[]
0,4,16,77a89bdaf9f3ebba410d75b690a40856cd9f56b87079b8c2acb7db0d91e018a6,[]
1,4,16,77a89bdaf9f3ebba410d75b690a40856cd9f56b87079b8c2acb7db0d91e018a6,[]
4,2,16,77a89bdaf9f3ebba410d75b690a40856cd9f56b87079b8c2acb7db0d91e018a6,[]
2,4,16,77a89bdaf9f3ebba410d75b690a40856cd9f56b87079b8c2acb7db0d91e018a6,[]
3,2,16,77a89bdaf9f3ebba410d75b690a40856cd9f56b87079b8c2acb7db0d91e018a6,[]
0,4,17,cacfc6e5dc8276b8a2ff0cdae00ccd6ac194952c305a57eddcbe34e73238ba83,[]
1,0,17,cacfc6e5dc8276b8a2ff0cdae00ccd6ac194952c305a57eddcbe34e73238ba83,[]
4,3,17,cacfc6e5dc8276b8a2ff0cdae00ccd6ac194952c305a57eddcbe34e73238ba83,[]
2,3,17,cacfc6e5dc8276b8a2ff0cdae00ccd6ac194952c305a57eddcbe34e73238ba83,[]
3,1,17,cacfc6e5dc8276b8a2ff0cdae00ccd6ac194952c305a57eddcbe34e73238ba83,[]
0,2,18,d5e96463dcd7b5f5a881c5c65b4707b442414470954951126f03bb6b2cab197c,[]
1,4,18,d5e96463dcd7b5f5a881c5c65b4707b442414470954951126f03bb6b2cab197c,[]
4,3,18,d5e96463dcd7b5f5a881c5c65b4707b442414470954951126f03bb6b2cab197c,[]
2,3,18,d5e96463dcd7b5f5a881c5c65b4707b442414470954951126f03bb6b2cab197c,[]
3,2,18,d5e96463dcd7b5f5a881c5c65b4707b442414470954951126f03bb6b2cab197c,[]
0,3,19,86836b4c5a866278738a108f5cba3a99842718982acbb8572e3ce8120e15e833,[]
1,4,19,86836b4c5a866278738a108f5cba3a99842718982acbb8572e3ce8120e15e833,[]
4,2,19,86836b4c5a866278738a108f5cba3a99842718982acbb8572e3ce8120e15e833,[]
2,4,19,86836b4c5a866278738a108f5cba3a99842718982acbb8572e3ce8120e15e833,[]
3,4,19,86836b4c5a866278738a108f5cba3a99842718982acbb8572e3ce8120e15e833,[]
0,4,20,164953c80163976e9cf4148fab94595d95cd0d64fdcda06cf05127c3622398e0,[]
1,4,20,164953c80163976e9cf4148fab94595d95cd0d64fdcda06cf05127c3622398e0,[]
4,2,20,164953c80163976e9cf4148fab94595d95cd0d64fdcda06cf05127c3622398e0,[]
2,0,20,164953c80163976e9cf4148fab94595d95cd0d64fdcda06cf05127c3622398e0,[]
3,2,20,164953c80163976e9cf4148fab94595d95cd0d64fdcda06cf05127c3622398e0,[]
