node_id,sender account alias,receiver account alias,amount,tx_hash,validated
0,None,Account1,100001000000,C39D3D23A088F4F0D46319A4C2DEA11D49970C87DB76EA8F25A15420A1C6A348,True
0,None,Account3,100001000000,A2B299CF299545353730536727681C6F7F2C88002501C4E720CAAE19DA6C688D,True
0,None,Account2,100001000000,77CB094273E29DEE76A74A35320BB2EEFC7774674842965F5D215673AC0866A1,True
0,Account1,Account2,83000000000,81F204B81D774F7CD70204AE01A9A831BC6EEF3C5DA400F28991219A6E3E65B5,True
0,Account1,Account3,82000000000,5451FF425F61FB18E14973F4E81CC52588E452A9858725E27063C0616D042201,False
0,Account1,Account3,81000000000,8D766130B134F42E1A6F9101D6C36374F3A5CEF88914F42F3A76FB0926C4DB9C,False
0,Account1,Account2,80000000000,E2C539ABC2E10A7DEF56D24E2F8057B15E9514EB1672F7EAE26721BF905EC08D,False
1,None,Account1,100001000000,C39D3D23A088F4F0D46319A4C2DEA11D49970C87DB76EA8F25A15420A1C6A348,True
1,None,Account3,100001000000,A2B299CF299545353730536727681C6F7F2C88002501C4E720CAAE19DA6C688D,True
1,None,Account2,100001000000,77CB094273E29DEE76A74A35320BB2EEFC7774674842965F5D215673AC0866A1,True
1,Account1,Account2,83000000000,81F204B81D774F7CD70204AE01A9A831BC6EEF3C5DA400F28991219A6E3E65B5,True
1,Account1,Account3,82000000000,5451FF425F61FB18E14973F4E81CC52588E452A9858725E27063C0616D042201,False
1,Account1,Account3,81000000000,8D766130B134F42E1A6F9101D6C36374F3A5CEF88914F42F3A76FB0926C4DB9C,False
1,Account1,Account2,80000000000,E2C539ABC2E10A7DEF56D24E2F8057B15E9514EB1672F7EAE26721BF905EC08D,False
2,None,Account1,100001000000,C39D3D23A088F4F0D46319A4C2DEA11D49970C87DB76EA8F25A15420A1C6A348,True
2,None,Account3,100001000000,A2B299CF299545353730536727681C6F7F2C88002501C4E720CAAE19DA6C688D,True
2,None,Account2,100001000000,77CB094273E29DEE76A74A35320BB2EEFC7774674842965F5D215673AC0866A1,True
2,Account1,Account2,83000000000,81F204B81D774F7CD70204AE01A9A831BC6EEF3C5DA400F28991219A6E3E65B5,True
2,Account1,Account3,82000000000,5451FF425F61FB18E14973F4E81CC52588E452A9858725E27063C0616D042201,False
2,Account1,Account3,81000000000,8D766130B134F42E1A6F9101D6C36374F3A5CEF88914F42F3A76FB0926C4DB9C,False
2,Account1,Account2,80000000000,E2C539ABC2E10A7DEF56D24E2F8057B15E9514EB1672F7EAE26721BF905EC08D,False
3,None,Account1,100001000000,C39D3D23A088F4F0D46319A4C2DEA11D49970C87DB76EA8F25A15420A1C6A348,True
3,None,Account3,100001000000,A2B299CF299545353730536727681C6F7F2C88002501C4E720CAAE19DA6C688D,True
3,None,Account2,100001000000,77CB094273E29DEE76A74A35320BB2EEFC7774674842965F5D215673AC0866A1,True
3,Account1,Account2,83000000000,81F204B81D774F7CD70204AE01A9A831BC6EEF3C5DA400F28991219A6E3E65B5,True
3,Account1,Account3,82000000000,5451FF425F61FB18E14973F4E81CC52588E452A9858725E27063C0616D042201,False
3,Account1,Account3,81000000000,8D766130B134F42E1A6F9101D6C36374F3A5CEF88914F42F3A76FB0926C4DB9C,False
3,Account1,Account2,80000000000,E2C539ABC2E10A7DEF56D24E2F8057B15E9514EB1672F7EAE26721BF905EC08D,False
4,None,Account1,100001000000,C39D3D23A088F4F0D46319A4C2DEA11D49970C87DB76EA8F25A15420A1C6A348,True
4,None,Account3,100001000000,A2B299CF299545353730536727681C6F7F2C88002501C4E720CAAE19DA6C688D,True
4,None,Account2,100001000000,77CB094273E29DEE76A74A35320BB2EEFC7774674842965F5D215673AC0866A1,True
4,Account1,Account2,83000000000,81F204B81D774F7CD70204AE01A9A831BC6EEF3C5DA400F28991219A6E3E65B5,True
4,Account1,Account3,82000000000,5451FF425F61FB18E14973F4E81CC52588E452A9858725E27063C0616D042201,False
4,Account1,Account3,81000000000,8D766130B134F42E1A6F9101D6C36374F3A5CEF88914F42F3A76FB0926C4DB9C,False
4,Account1,Account2,80000000000,E2C539ABC2E10A7DEF56D24E2F8057B15E9514EB1672F7EAE26721BF905EC08D,False
