peer_id,peer_to_id,ledger_seq,ledger_hash,raw_contents
1,0,2,5891025c1c2d41164a064981dbe04e7927b475e9f6bf63d85faf6ccb203038b8,[]
0,4,2,5891025c1c2d41164a064981dbe04e7927b475e9f6bf63d85faf6ccb203038b8,[]
3,0,2,5891025c1c2d41164a064981dbe04e7927b475e9f6bf63d85faf6ccb203038b8,[]
4,2,2,5891025c1c2d41164a064981dbe04e7927b475e9f6bf63d85faf6ccb203038b8,[]
2,4,2,5891025c1c2d41164a064981dbe04e7927b475e9f6bf63d85faf6ccb203038b8,[]
1,4,3,1893c681ec80f857a37177edb3312638f13fceabdd425a9b070e99ba7188829d,[]
0,2,3,1893c681ec80f857a37177edb3312638f13fceabdd425a9b070e99ba7188829d,[]
3,0,3,1893c681ec80f857a37177edb3312638f13fceabdd425a9b070e99ba7188829d,[]
2,4,3,1893c681ec80f857a37177edb3312638f13fceabdd425a9b070e99ba7188829d,[]
4,3,3,1893c681ec80f857a37177edb3312638f13fceabdd425a9b070e99ba7188829d,[]
1,3,4,0f32c879a9b122b943cff25b7f7afde476e2d0643c598161b7966549fa6ad275,[]
3,1,4,0f32c879a9b122b943cff25b7f7afde476e2d0643c598161b7966549fa6ad275,[]
2,4,4,0f32c879a9b122b943cff25b7f7afde476e2d0643c598161b7966549fa6ad275,[]
0,3,4,0f32c879a9b122b943cff25b7f7afde476e2d0643c598161b7966549fa6ad275,[]
4,2,4,0f32c879a9b122b943cff25b7f7afde476e2d0643c598161b7966549fa6ad275,[]
3,1,5,1a1b0e360b6977ee647ad5a0172bb4b2e1567c65963e652cfd7cb0637f974d68,[]
0,3,5,2dbb184e046eac6e2c6df22855ef2e968109b2cd81e082c2b429d398df7ab50b,"['109D0D66CAD6EA0B7F0DF6DA567C62C5E3C1DE854C7D36861314A6597E772AC8', '3670A4980949325C997FFEA9EFD4FBAAD6DB38AFEA576495B55A54CD1C100909', '8A2788714B4DBAB1A947D23DA5D06812DB648DCFCCA127C519D9182D37F858DF']"
2,3,5,1a1b0e360b6977ee647ad5a0172bb4b2e1567c65963e652cfd7cb0637f974d68,[]
1,2,5,2dbb184e046eac6e2c6df22855ef2e968109b2cd81e082c2b429d398df7ab50b,"['109D0D66CAD6EA0B7F0DF6DA567C62C5E3C1DE854C7D36861314A6597E772AC8', '3670A4980949325C997FFEA9EFD4FBAAD6DB38AFEA576495B55A54CD1C100909', '8A2788714B4DBAB1A947D23DA5D06812DB648DCFCCA127C519D9182D37F858DF']"
4,2,5,1a1b0e360b6977ee647ad5a0172bb4b2e1567c65963e652cfd7cb0637f974d68,[]
2,3,6,bca151f76dbfcd2e567385e63627cf233c522ef30540c4e9189a68f29de650af,"['109D0D66CAD6EA0B7F0DF6DA567C62C5E3C1DE854C7D36861314A6597E772AC8', '3670A4980949325C997FFEA9EFD4FBAAD6DB38AFEA576495B55A54CD1C100909', '8A2788714B4DBAB1A947D23DA5D06812DB648DCFCCA127C519D9182D37F858DF']"
1,0,6,bca151f76dbfcd2e567385e63627cf233c522ef30540c4e9189a68f29de650af,"['109D0D66CAD6EA0B7F0DF6DA567C62C5E3C1DE854C7D36861314A6597E772AC8', '3670A4980949325C997FFEA9EFD4FBAAD6DB38AFEA576495B55A54CD1C100909', '8A2788714B4DBAB1A947D23DA5D06812DB648DCFCCA127C519D9182D37F858DF']"
3,2,6,bca151f76dbfcd2e567385e63627cf233c522ef30540c4e9189a68f29de650af,"['109D0D66CAD6EA0B7F0DF6DA567C62C5E3C1DE854C7D36861314A6597E772AC8', '3670A4980949325C997FFEA9EFD4FBAAD6DB38AFEA576495B55A54CD1C100909', '8A2788714B4DBAB1A947D23DA5D06812DB648DCFCCA127C519D9182D37F858DF']"
4,3,6,bca151f76dbfcd2e567385e63627cf233c522ef30540c4e9189a68f29de650af,"['109D0D66CAD6EA0B7F0DF6DA567C62C5E3C1DE854C7D36861314A6597E772AC8', '3670A4980949325C997FFEA9EFD4FBAAD6DB38AFEA576495B55A54CD1C100909', '8A2788714B4DBAB1A947D23DA5D06812DB648DCFCCA127C519D9182D37F858DF']"
0,4,6,bca151f76dbfcd2e567385e63627cf233c522ef30540c4e9189a68f29de650af,"['109D0D66CAD6EA0B7F0DF6DA567C62C5E3C1DE854C7D36861314A6597E772AC8', '3670A4980949325C997FFEA9EFD4FBAAD6DB38AFEA576495B55A54CD1C100909', '8A2788714B4DBAB1A947D23DA5D06812DB648DCFCCA127C519D9182D37F858DF']"
0,3,7,9cf1f8565eb4f3b14c194ef5c5ffad42b683203732162ae4ca5251652f69b4e7,['C1820A1A3DA5E847B875ACA322709F14F80F3F88CF0BA208EE8D331F8ECEE9C7']
3,4,7,9cf1f8565eb4f3b14c194ef5c5ffad42b683203732162ae4ca5251652f69b4e7,['C1820A1A3DA5E847B875ACA322709F14F80F3F88CF0BA208EE8D331F8ECEE9C7']
4,3,7,9cf1f8565eb4f3b14c194ef5c5ffad42b683203732162ae4ca5251652f69b4e7,['C1820A1A3DA5E847B875ACA322709F14F80F3F88CF0BA208EE8D331F8ECEE9C7']
1,3,7,9cf1f8565eb4f3b14c194ef5c5ffad42b683203732162ae4ca5251652f69b4e7,['C1820A1A3DA5E847B875ACA322709F14F80F3F88CF0BA208EE8D331F8ECEE9C7']
2,3,7,9cf1f8565eb4f3b14c194ef5c5ffad42b683203732162ae4ca5251652f69b4e7,['C1820A1A3DA5E847B875ACA322709F14F80F3F88CF0BA208EE8D331F8ECEE9C7']
1,4,8,2b4bdc8a13fedce3dbacdb45ad1a7015f3fac656d1674edcf4959ebd82d522fc,[]
3,4,8,2b4bdc8a13fedce3dbacdb45ad1a7015f3fac656d1674edcf4959ebd82d522fc,[]
0,3,8,2b4bdc8a13fedce3dbacdb45ad1a7015f3fac656d1674edcf4959ebd82d522fc,[]
4,3,8,2b4bdc8a13fedce3dbacdb45ad1a7015f3fac656d1674edcf4959ebd82d522fc,[]
2,4,8,2b4bdc8a13fedce3dbacdb45ad1a7015f3fac656d1674edcf4959ebd82d522fc,[]
3,4,9,90fac296c7159f4842e4d475556e93f7376143bf7fc4d348f61d34cb9e6c7f89,[]
2,4,9,90fac296c7159f4842e4d475556e93f7376143bf7fc4d348f61d34cb9e6c7f89,[]
1,4,9,90fac296c7159f4842e4d475556e93f7376143bf7fc4d348f61d34cb9e6c7f89,[]
0,4,9,90fac296c7159f4842e4d475556e93f7376143bf7fc4d348f61d34cb9e6c7f89,[]
4,0,9,90fac296c7159f4842e4d475556e93f7376143bf7fc4d348f61d34cb9e6c7f89,[]
1,4,10,fc91291dd4b3d0708f44a2b8476602e7b0e44985f1b5a42e22e60ac8d1810463,[]
3,0,10,fc91291dd4b3d0708f44a2b8476602e7b0e44985f1b5a42e22e60ac8d1810463,[]
4,2,10,fc91291dd4b3d0708f44a2b8476602e7b0e44985f1b5a42e22e60ac8d1810463,[]
2,3,10,fc91291dd4b3d0708f44a2b8476602e7b0e44985f1b5a42e22e60ac8d1810463,[]
0,4,10,fc91291dd4b3d0708f44a2b8476602e7b0e44985f1b5a42e22e60ac8d1810463,[]
1,4,11,41ec8361af9800735373b4385decb72cfc1e1ca3e2ac881c7337f283676de5ff,[]
3,4,11,41ec8361af9800735373b4385decb72cfc1e1ca3e2ac881c7337f283676de5ff,[]
4,3,11,41ec8361af9800735373b4385decb72cfc1e1ca3e2ac881c7337f283676de5ff,[]
2,1,11,41ec8361af9800735373b4385decb72cfc1e1ca3e2ac881c7337f283676de5ff,[]
0,1,11,41ec8361af9800735373b4385decb72cfc1e1ca3e2ac881c7337f283676de5ff,[]
1,4,12,abcde7f20f8312c74d38fa617ede09e6176ffd04f27e27ac3a051ec430787f54,[]
3,1,12,abcde7f20f8312c74d38fa617ede09e6176ffd04f27e27ac3a051ec430787f54,[]
4,1,12,abcde7f20f8312c74d38fa617ede09e6176ffd04f27e27ac3a051ec430787f54,[]
2,4,12,abcde7f20f8312c74d38fa617ede09e6176ffd04f27e27ac3a051ec430787f54,[]
0,4,12,abcde7f20f8312c74d38fa617ede09e6176ffd04f27e27ac3a051ec430787f54,[]
1,3,13,837e0d18c63a058c99553f27e34aa64ac6ec867128428f2709811b95938e064e,[]
3,2,13,837e0d18c63a058c99553f27e34aa64ac6ec867128428f2709811b95938e064e,[]
4,2,13,837e0d18c63a058c99553f27e34aa64ac6ec867128428f2709811b95938e064e,[]
2,4,13,837e0d18c63a058c99553f27e34aa64ac6ec867128428f2709811b95938e064e,[]
0,3,13,837e0d18c63a058c99553f27e34aa64ac6ec867128428f2709811b95938e064e,[]
1,3,14,20e13fa7ededd2652af86067b8daa58590b36380c0b4b0575c799dc7f8ec052e,[]
3,1,14,20e13fa7ededd2652af86067b8daa58590b36380c0b4b0575c799dc7f8ec052e,[]
4,1,14,20e13fa7ededd2652af86067b8daa58590b36380c0b4b0575c799dc7f8ec052e,[]
2,3,14,20e13fa7ededd2652af86067b8daa58590b36380c0b4b0575c799dc7f8ec052e,[]
0,1,14,20e13fa7ededd2652af86067b8daa58590b36380c0b4b0575c799dc7f8ec052e,[]
1,4,15,8846f027ebd37a98faa3a76e16abd6f077a920434b7b4f0742e14f98f54e9485,[]
3,2,15,8846f027ebd37a98faa3a76e16abd6f077a920434b7b4f0742e14f98f54e9485,[]
4,3,15,8846f027ebd37a98faa3a76e16abd6f077a920434b7b4f0742e14f98f54e9485,[]
