node_id,ledger_seq,goal_ledger_seq,time_to_validation,close_time,ledger_hash,ledger_index
3,3,20,2.956222,803860770,91A9D9A63B8960FD5DB4F7F59EC5240880F8DD661FBD4A1B53134A175C5F7879,3
1,3,20,3.003237,803860770,91A9D9A63B8960FD5DB4F7F59EC5240880F8DD661FBD4A1B53134A175C5F7879,3
2,3,20,4.000173,803860770,91A9D9A63B8960FD5DB4F7F59EC5240880F8DD661FBD4A1B53134A175C5F7879,3
0,3,20,4.004198,803860770,91A9D9A63B8960FD5DB4F7F59EC5240880F8DD661FBD4A1B53134A175C5F7879,3
2,2,20,25.831660,803860750,C219F52427A953FFD57F6524FC29E83B8EFAE53B00549E1C27AC620C9D839779,2
3,2,20,25.926401,803860750,C219F52427A953FFD57F6524FC29E83B8EFAE53B00549E1C27AC620C9D839779,2
4,2,20,26.085537,803860750,C219F52427A953FFD57F6524FC29E83B8EFAE53B00549E1C27AC620C9D839779,2
0,2,20,26.216186,803860750,C219F52427A953FFD57F6524FC29E83B8EFAE53B00549E1C27AC620C9D839779,2
1,2,20,26.593038,803860750,C219F52427A953FFD57F6524FC29E83B8EFAE53B00549E1C27AC620C9D839779,2
3,4,20,3.999966,803860771,C493D7F2B6822789854C29DE2756456AD234B917FC7741884DDA7A62A401C268,4
1,4,20,4.000376,803860771,C493D7F2B6822789854C29DE2756456AD234B917FC7741884DDA7A62A401C268,4
2,4,20,4.000753,803860771,C493D7F2B6822789854C29DE2756456AD234B917FC7741884DDA7A62A401C268,4
4,4,20,4.000852,803860771,C493D7F2B6822789854C29DE2756456AD234B917FC7741884DDA7A62A401C268,4
0,4,20,3.998394,803860771,C493D7F2B6822789854C29DE2756456AD234B917FC7741884DDA7A62A401C268,4
4,3,20,4.001097,803860770,91A9D9A63B8960FD5DB4F7F59EC5240880F8DD661FBD4A1B53134A175C5F7879,3
3,5,20,5.003173,803860780,0DB5A35E978A3B88BCC3CBF66F5BCF13C1E43771DAD9B7C567BD9B0FD3343142,5
0,5,20,4.001339,803860780,0DB5A35E978A3B88BCC3CBF66F5BCF13C1E43771DAD9B7C567BD9B0FD3343142,5
1,5,20,5.001969,803860780,0DB5A35E978A3B88BCC3CBF66F5BCF13C1E43771DAD9B7C567BD9B0FD3343142,5
2,5,20,5.002343,803860780,0DB5A35E978A3B88BCC3CBF66F5BCF13C1E43771DAD9B7C567BD9B0FD3343142,5
4,5,20,6.002935,803860780,0DB5A35E978A3B88BCC3CBF66F5BCF13C1E43771DAD9B7C567BD9B0FD3343142,5
3,6,20,4.001075,803860781,CC1198EDFC12D10E654BA981AA23037A6798EC90A998C1C5A7E3F634BA18ABBB,6
0,6,20,4.002427,803860781,CC1198EDFC12D10E654BA981AA23037A6798EC90A998C1C5A7E3F634BA18ABBB,6
1,6,20,4.000778,803860781,CC1198EDFC12D10E654BA981AA23037A6798EC90A998C1C5A7E3F634BA18ABBB,6
2,6,20,4.002341,803860781,CC1198EDFC12D10E654BA981AA23037A6798EC90A998C1C5A7E3F634BA18ABBB,6
4,6,20,3.001210,803860781,CC1198EDFC12D10E654BA981AA23037A6798EC90A998C1C5A7E3F634BA18ABBB,6
4,7,20,5.001518,803860790,217FF48A0B39D4065488278F075936A153FAD0152CC211ED6FD87ACF3BD56760,7
1,7,20,6.002499,803860790,217FF48A0B39D4065488278F075936A153FAD0152CC211ED6FD87ACF3BD56760,7
2,7,20,6.002634,803860790,217FF48A0B39D4065488278F075936A153FAD0152CC211ED6FD87ACF3BD56760,7
3,7,20,7.005198,803860790,217FF48A0B39D4065488278F075936A153FAD0152CC211ED6FD87ACF3BD56760,7
3,8,20,3.003334,803860791,63EF17AB26F86273EC357B42A7EE72B0554EDDD5D8515CD30A9BDF4CACFB4DB0,8
1,8,20,4.002145,803860791,63EF17AB26F86273EC357B42A7EE72B0554EDDD5D8515CD30A9BDF4CACFB4DB0,8
2,8,20,4.004626,803860791,63EF17AB26F86273EC357B42A7EE72B0554EDDD5D8515CD30A9BDF4CACFB4DB0,8
4,8,20,5.002676,803860791,63EF17AB26F86273EC357B42A7EE72B0554EDDD5D8515CD30A9BDF4CACFB4DB0,8
0,7,20,11.004642,803860790,217FF48A0B39D4065488278F075936A153FAD0152CC211ED6FD87ACF3BD56760,7
0,8,20,2.012898,803860791,63EF17AB26F86273EC357B42A7EE72B0554EDDD5D8515CD30A9BDF4CACFB4DB0,8
3,9,20,4.000316,803860800,FDE177076AE4D83892D1A4E22268B371E4CB20D4BC766D5D70EED628A0C35979,9
1,9,20,4.001174,803860800,FDE177076AE4D83892D1A4E22268B371E4CB20D4BC766D5D70EED628A0C35979,9
2,9,20,4.000893,803860800,FDE177076AE4D83892D1A4E22268B371E4CB20D4BC766D5D70EED628A0C35979,9
4,9,20,4.001700,803860800,FDE177076AE4D83892D1A4E22268B371E4CB20D4BC766D5D70EED628A0C35979,9
0,9,20,2.989783,803860800,FDE177076AE4D83892D1A4E22268B371E4CB20D4BC766D5D70EED628A0C35979,9
3,10,20,4.000821,803860801,B326EBC6885D79AD46B7271FAEA3A44D1A5F85D7D519C80C3B7C88C5AF4377BC,10
4,10,20,3.008163,803860801,B326EBC6885D79AD46B7271FAEA3A44D1A5F85D7D519C80C3B7C88C5AF4377BC,10
1,10,20,4.001404,803860801,B326EBC6885D79AD46B7271FAEA3A44D1A5F85D7D519C80C3B7C88C5AF4377BC,10
2,10,20,4.001574,803860801,B326EBC6885D79AD46B7271FAEA3A44D1A5F85D7D519C80C3B7C88C5AF4377BC,10
0,10,20,3.001390,803860801,B326EBC6885D79AD46B7271FAEA3A44D1A5F85D7D519C80C3B7C88C5AF4377BC,10
3,11,20,3.000630,803860802,38775010544E21D364C7DF668A45BB20BB06FDC5C35434A9159D1A301C7A0C9D,11
