2025-06-22T07:24:19.138935264Z 2025-06-22 07:24:19.138 | DEBUG    | rocket_controller.strategies.strategy:__init__:82 - Initialized final strategy parameters:
2025-06-22T07:24:19.138993083Z 	{'encoding': [1081, 91, 779, 2697, 2415, 2407, 686, 3882, 1438, 2128, 1086, 1963, 1373, 800, 927, 2097, 2342, 698, 1442, 1047, 915, 314, 3296, 1064, 438, 2959, 388, 2206, 2200, 1602, 842, 1312, 2552, 1655, 2101, 141, 1302, 565, 2040, 1349, 2338, 3626, 640, 2405, 798, 3146, 1439, 3464, 2042, 1125, 2468, 2737, 1138, 1162, 2184, 3583, 574, 2778, 586, 121, 3994, 445, 3433, 2784, 1589, 3575, 1507, 1710, 3651, 731, 2748, 1194, 3110, 1587, 41, 277, 3476, 1744, 1069, 603, 876, 2648, 3011, 3512, 2057, 1631, 2178, 1678, 406, 2515, 2217, 3771, 2864, 3406, 492, 1622, 2338, 2787, 213, 435, 3213, 295, 627, 1817, 896, 502, 998, 2549, 93, 2394, 1315, 3888, 2553, 3062, 1097, 2739, 1730, 3858, 958, 3197, 1033, 671, 1933, 3740, 2758, 188, 730, 3551, 1712, 2794, 1322, 645, 1430, 1585, 112, 3147, 639, 586, 2639, 2276]}
2025-06-22T07:24:19.139009945Z 2025-06-22 07:24:19.138 | DEBUG    | rocket_controller.strategies.strategy:__init__:83 - Initialized final strategy network configuration:
2025-06-22T07:24:19.139017359Z 	{'hostname_prefix': 'AMG_TimeRoulette_G18T5R0', 'number_of_nodes': 5, 'network_partition': [], 'unl_partition': [], 'transactions': {'genesis': [{'peer_id': 1, 'amount': 100001000000, 'sender_account': 'None', 'destination_account': 'Account1'}, {'peer_id': 1, 'amount': 100001000000, 'sender_account': 'None', 'destination_account': 'Account2'}, {'peer_id': 1, 'amount': 100001000000, 'sender_account': 'None', 'destination_account': 'Account3'}], 'regular': [{'peer_id': 0, 'amount': 80000000000, 'sender_account': 'Account1', 'destination_account': 'Account2', 'time': 2}, {'peer_id': 1, 'amount': 81000000000, 'sender_account': 'Account1', 'destination_account': 'Account3', 'time': 2}, {'peer_id': 2, 'amount': 82000000000, 'sender_account': 'Account1', 'destination_account': 'Account3', 'time': 2}, {'peer_id': 3, 'amount': 83000000000, 'sender_account': 'Account1', 'destination_account': 'Account2', 'time': 2}]}}
2025-06-22T07:24:19.147370118Z 2025-06-22 07:24:19.147 | DEBUG    | rocket_controller.iteration_type:add_iteration:342 - Stopping logLedgerResul;t
2025-06-22T07:24:19.147445951Z 2025-06-22 07:24:19.147 | DEBUG    | rocket_controller.iteration_type:add_iteration:347 - Done stopping logLedgerResul;t
2025-06-22T07:24:19.148129291Z 2025-06-22 07:24:19.147 | INFO     | rocket_controller.iteration_type:add_iteration:359 - Starting iteration 1
2025-06-22T07:24:19.148199794Z 2025-06-22 07:24:19.148 | INFO     | rocket_controller.interceptor_manager:start_new:70 - Starting interceptor
2025-06-22T07:24:19.149352229Z 2025-06-22 07:24:19.149 | INFO     | rocket_controller.iteration_type:_start_transactions:157 - Starting Transaction.
2025-06-22T07:24:39.150104667Z 2025-06-22 07:24:39.149 | INFO     | rocket_controller.iteration_type:_perform_transactions:163 - Waiting for validator nodes to be initialized...
2025-06-22T07:25:14.032539447Z 2025-06-22 07:25:14.032 | INFO     | rocket_controller.strategies.strategy:update_network:124 - Updating the strategy's network information
2025-06-22T07:25:14.151002331Z 2025-06-22 07:25:14.150 | INFO     | rocket_controller.iteration_type:_perform_transactions:167 - Waiting for network to be initialized...
2025-06-22T07:25:14.151151973Z 2025-06-22 07:25:14.150 | INFO     | rocket_controller.iteration_type:_perform_transactions:171 - Waiting for ledger to be available before submitting transaction...
2025-06-22T07:25:24.149802425Z 2025-06-22 07:25:24.149 | INFO     | rocket_controller.iteration_type:_timeout_reached:137 - Timeout reached.
2025-06-22T07:25:24.149921200Z 2025-06-22 07:25:24.149 | INFO     | rocket_controller.iteration_type:_timeout_reached:139 - Checking correct setup
2025-06-22T07:25:24.150052488Z 2025-06-22 07:25:24.149 | INFO     | rocket_controller.iteration_type:_timeout_reached:143 - Setup went wrong, resetting entire test.
2025-06-22T07:25:30.747301155Z 2025-06-22 07:25:30.746 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 1 validated ledger 2 in 0:00:16.661955
2025-06-22T07:25:30.856394159Z 2025-06-22 07:25:30.855 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 2 validated ledger 2 in 0:00:16.762103
2025-06-22T07:25:40.209564860Z 2025-06-22 07:25:40.209 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 0 validated ledger 2 in 0:00:26.100964
2025-06-22T07:25:40.295145367Z 2025-06-22 07:25:40.294 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 4 validated ledger 2 in 0:00:26.178524
2025-06-22T07:25:40.709258643Z 2025-06-22 07:25:40.708 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 3 validated ledger 2 in 0:00:26.614437
2025-06-22T07:25:42.154881803Z 2025-06-22 07:25:42.154 | INFO     | rocket_controller.iteration_type:_perform_transactions:177 - Attempting to submit 3 Genesis Transactions and 4 Regular Transactions to the network.
2025-06-22T07:25:42.155096769Z 2025-06-22 07:25:42.154 | INFO     | rocket_controller.iteration_type:_perform_transactions:187 - Sending 100001000000 from None to Account1 using peer 1...
2025-06-22T07:25:42.160596562Z 2025-06-22 07:25:42.160 | INFO     | rocket_controller.iteration_type:_perform_transactions:187 - Sending 100001000000 from None to Account2 using peer 1...
2025-06-22T07:25:42.171114016Z 2025-06-22 07:25:42.170 | INFO     | rocket_controller.iteration_type:_perform_transactions:187 - Sending 100001000000 from None to Account3 using peer 1...
2025-06-22T07:25:42.204975539Z 2025-06-22 07:25:42.204 | INFO     | rocket_controller.network_manager:get_account:428 - Creating account Account1 with seed sap2hZWpsv8RaZcvnTJ9z6P9FMYSX and address rNuywbPzRVy1WcHnvzjL7uoj7tmobZ768e
2025-06-22T07:25:42.213739704Z 2025-06-22 07:25:42.213 | INFO     | rocket_controller.network_manager:get_account:428 - Creating account Account3 with seed shGNY85tZZgtw2R9mKHeLugMgGmph and address raAuGUsbNLxvsN6N5Mf1bfzRfXtWYEM89z
2025-06-22T07:25:42.228932254Z 2025-06-22 07:25:42.228 | INFO     | rocket_controller.network_manager:get_account:428 - Creating account Account2 with seed snEA5d6gZBV4kcVBtTgHNxoe3CuzV and address rhuH6A8axCnZjEttyNidrcX9sahp1FQ96j
