node_id,ledger_seq,goal_ledger_seq,time_to_validation,close_time,ledger_hash,ledger_index
1,3,20,3.008140,803860930,728442FE58B75EE7B62D529C79D7E17622989EE8FF165844AB7CD77D45B5C40A,3
3,3,20,3.005336,803860930,728442FE58B75EE7B62D529C79D7E17622989EE8FF165844AB7CD77D45B5C40A,3
4,3,20,3.955928,803860930,728442FE58B75EE7B62D529C79D7E17622989EE8FF165844AB7CD77D45B5C40A,3
2,3,20,3.989201,803860930,728442FE58B75EE7B62D529C79D7E17622989EE8FF165844AB7CD77D45B5C40A,3
0,3,20,5.000647,803860930,728442FE58B75EE7B62D529C79D7E17622989EE8FF165844AB7CD77D45B5C40A,3
0,2,20,21.063787,803860910,7F08EF19A4A7B6A47BDA9E9E5002102243970605EDDD1BB44E332F9425C4AFFB,2
4,2,20,21.136713,803860910,7F08EF19A4A7B6A47BDA9E9E5002102243970605EDDD1BB44E332F9425C4AFFB,2
2,2,20,21.206206,803860910,7F08EF19A4A7B6A47BDA9E9E5002102243970605EDDD1BB44E332F9425C4AFFB,2
1,2,20,21.269047,803860910,7F08EF19A4A7B6A47BDA9E9E5002102243970605EDDD1BB44E332F9425C4AFFB,2
3,2,20,21.674108,803860910,7F08EF19A4A7B6A47BDA9E9E5002102243970605EDDD1BB44E332F9425C4AFFB,2
2,4,20,3.003137,803860931,7886E0FF51CD3CAF0EB4EFEB2C230C205237836961DEBADE56169CFF3B2426B3,4
1,4,20,4.015916,803860931,7886E0FF51CD3CAF0EB4EFEB2C230C205237836961DEBADE56169CFF3B2426B3,4
3,4,20,3.996851,803860931,7886E0FF51CD3CAF0EB4EFEB2C230C205237836961DEBADE56169CFF3B2426B3,4
4,4,20,4.001359,803860931,7886E0FF51CD3CAF0EB4EFEB2C230C205237836961DEBADE56169CFF3B2426B3,4
0,4,20,4.007662,803860931,7886E0FF51CD3CAF0EB4EFEB2C230C205237836961DEBADE56169CFF3B2426B3,4
1,5,20,3.951650,803860940,4CF5085ED91201B292E60374EF05C793066763A63AD601AD7191147E3C08EAF7,5
3,5,20,5.004411,803860940,D84DF23F3BCDA3D54A529FC8603082A4089E5E7DB8288F719D97F60B51B1515F,5
0,5,20,4.002698,803860940,4CF5085ED91201B292E60374EF05C793066763A63AD601AD7191147E3C08EAF7,5
4,5,20,5.249385,803860940,4CF5085ED91201B292E60374EF05C793066763A63AD601AD7191147E3C08EAF7,5
2,5,20,6.361780,803860940,D84DF23F3BCDA3D54A529FC8603082A4089E5E7DB8288F719D97F60B51B1515F,5
1,6,20,6.003791,803860941,3DEBF95ADC8D4C58B084E61164B0ECDE5544C8849AF7140420A160CF9E275383,6
3,6,20,5.001605,803860941,01096503857147F08AE178F3B9B550188C9507C1D98C38FB8BB4D604B2F5CD7C,6
2,6,20,4.697933,803860941,01096503857147F08AE178F3B9B550188C9507C1D98C38FB8BB4D604B2F5CD7C,6
0,6,20,6.004776,803860941,3DEBF95ADC8D4C58B084E61164B0ECDE5544C8849AF7140420A160CF9E275383,6
4,6,20,5.799458,803860941,3DEBF95ADC8D4C58B084E61164B0ECDE5544C8849AF7140420A160CF9E275383,6
2,7,20,2.948907,803860950,F32B313D5ECCAC570BA058FCD955566170447850243435805F0FE7411816222E,7
1,7,20,5.002917,803860950,3EE0B4F9126E4241B0DA24D91D69A7AB36A2170C7DE0F5F2A17876C7AEA00FCD,7
4,7,20,5.960525,803860950,3EE0B4F9126E4241B0DA24D91D69A7AB36A2170C7DE0F5F2A17876C7AEA00FCD,7
0,7,20,7.006840,803860950,3EE0B4F9126E4241B0DA24D91D69A7AB36A2170C7DE0F5F2A17876C7AEA00FCD,7
1,8,20,6.011376,803860960,153322C86310C7FBE452F6BD265EFD8A878DE8DDCD7804EA0FCE4D969F2C4E8A,8
0,8,20,3.002733,803860960,153322C86310C7FBE452F6BD265EFD8A878DE8DDCD7804EA0FCE4D969F2C4E8A,8
4,8,20,4.047652,803860960,153322C86310C7FBE452F6BD265EFD8A878DE8DDCD7804EA0FCE4D969F2C4E8A,8
0,9,20,3.001641,803860961,0E502939BC9D4F0F5AB11DA353AA8B50769D065BA10237C06D76B0C19173C3A3,9
1,9,20,4.002900,803860961,0E502939BC9D4F0F5AB11DA353AA8B50769D065BA10237C06D76B0C19173C3A3,9
4,9,20,3.956187,803860961,0E502939BC9D4F0F5AB11DA353AA8B50769D065BA10237C06D76B0C19173C3A3,9
0,10,20,4.001647,803860962,C3488711E886C0200F4C0B124BE4AFD401C91338C84C6ED42724D4D614EB3EF3,10
4,10,20,3.048005,803860962,C3488711E886C0200F4C0B124BE4AFD401C91338C84C6ED42724D4D614EB3EF3,10
1,10,20,4.011868,803860962,C3488711E886C0200F4C0B124BE4AFD401C91338C84C6ED42724D4D614EB3EF3,10
0,11,20,3.002304,803860970,DA022F69EB5B69DDDA5C4914D3647FAF75C01570E81F537B8979EFF6E477E79D,11
4,11,20,3.016738,803860970,DA022F69EB5B69DDDA5C4914D3647FAF75C01570E81F537B8979EFF6E477E79D,11
1,11,20,3.000958,803860970,DA022F69EB5B69DDDA5C4914D3647FAF75C01570E81F537B8979EFF6E477E79D,11
3,7,20,23.014545,803860950,3EE0B4F9126E4241B0DA24D91D69A7AB36A2170C7DE0F5F2A17876C7AEA00FCD,7
2,8,20,20.014862,803860960,153322C86310C7FBE452F6BD265EFD8A878DE8DDCD7804EA0FCE4D969F2C4E8A,8
0,12,20,3.000668,803860971,20F90803D4097F98580709EAAC5731453802C3EA5C52D3FCF964BC2E879BB16F,12
4,12,20,2.969197,803860971,20F90803D4097F98580709EAAC5731453802C3EA5C52D3FCF964BC2E879BB16F,12
1,12,20,3.002179,803860971,20F90803D4097F98580709EAAC5731453802C3EA5C52D3FCF964BC2E879BB16F,12
3,12,20,3.006111,803860971,20F90803D4097F98580709EAAC5731453802C3EA5C52D3FCF964BC2E879BB16F,12
0,13,20,3.001706,803860972,8B4CD64E957FD2EB4CC8CFE9C0D15852868AD4477A987CFE998C46F7754653E8,13
4,13,20,3.028682,803860972,8B4CD64E957FD2EB4CC8CFE9C0D15852868AD4477A987CFE998C46F7754653E8,13
1,13,20,3.000222,803860972,8B4CD64E957FD2EB4CC8CFE9C0D15852868AD4477A987CFE998C46F7754653E8,13
3,13,20,2.045921,803860972,8B4CD64E957FD2EB4CC8CFE9C0D15852868AD4477A987CFE998C46F7754653E8,13
2,13,20,5.042546,803860972,8B4CD64E957FD2EB4CC8CFE9C0D15852868AD4477A987CFE998C46F7754653E8,13
0,14,20,3.002171,803860980,74D72C590F6EC167BA1A9869C5DE0A6C34B8767B281DCF9B7F4FABBED909E319,14
4,14,20,2.969591,803860980,74D72C590F6EC167BA1A9869C5DE0A6C34B8767B281DCF9B7F4FABBED909E319,14
1,14,20,3.001712,803860980,74D72C590F6EC167BA1A9869C5DE0A6C34B8767B281DCF9B7F4FABBED909E319,14
