2025-06-21T23:11:44.394862123Z 2025-06-21 23:11:44.394 | DEBUG    | rocket_controller.strategies.strategy:__init__:82 - Initialized final strategy parameters:
2025-06-21T23:11:44.394914222Z 	{'encoding': [2792, 2980, 154, 236, 574, 2013, 3919, 526, 1685, 3987, 2125, 2397, 1944, 151, 3523, 991, 2667, 2663, 2419, 1762, 3757, 3125, 2905, 3123, 1045, 3136, 274, 3090, 2494, 445, 1811, 2365, 3103, 887, 1300, 2076, 498, 2626, 3950, 3222, 3907, 56, 834, 3590, 1981, 1411, 824, 2385, 306, 730, 1333, 1143, 2692, 3166, 1333, 911, 3872, 3939, 3058, 294, 551, 1307, 1062, 2863, 612, 2411, 1818, 2392, 149, 1436, 1817, 310, 935, 2548, 3217, 703, 388, 1387, 1999, 517, 2237, 1872, 966, 1421, 3401, 2794, 1223, 1794, 2494, 2774, 2104, 252, 2512, 309, 1101, 1620, 2144, 472, 256, 3264, 844, 3655, 2137, 1746, 291, 1404, 1847, 2859, 2368, 192, 260, 2213, 848, 1097, 872, 2968, 3771, 2818, 977, 1076, 1099, 3910, 3474, 2167, 2726, 61, 2013, 1816, 2543, 1342, 3437, 1993, 899, 2696, 3203, 1560, 1243, 3451, 1762, 243]}
2025-06-21T23:11:44.394921115Z 2025-06-21 23:11:44.394 | DEBUG    | rocket_controller.strategies.strategy:__init__:83 - Initialized final strategy network configuration:
2025-06-21T23:11:44.394925363Z 	{'hostname_prefix': 'AMG_TimeTournament_G16T3R0', 'number_of_nodes': 5, 'network_partition': [], 'unl_partition': [], 'transactions': {'genesis': [{'peer_id': 1, 'amount': 100001000000, 'sender_account': 'None', 'destination_account': 'Account1'}, {'peer_id': 1, 'amount': 100001000000, 'sender_account': 'None', 'destination_account': 'Account2'}, {'peer_id': 1, 'amount': 100001000000, 'sender_account': 'None', 'destination_account': 'Account3'}], 'regular': [{'peer_id': 0, 'amount': 80000000000, 'sender_account': 'Account1', 'destination_account': 'Account2', 'time': 2}, {'peer_id': 1, 'amount': 81000000000, 'sender_account': 'Account1', 'destination_account': 'Account3', 'time': 2}, {'peer_id': 2, 'amount': 82000000000, 'sender_account': 'Account1', 'destination_account': 'Account3', 'time': 2}, {'peer_id': 3, 'amount': 83000000000, 'sender_account': 'Account1', 'destination_account': 'Account2', 'time': 2}]}}
2025-06-21T23:11:44.402939427Z 2025-06-21 23:11:44.402 | DEBUG    | rocket_controller.iteration_type:add_iteration:342 - Stopping logLedgerResul;t
2025-06-21T23:11:44.403015330Z 2025-06-21 23:11:44.402 | DEBUG    | rocket_controller.iteration_type:add_iteration:347 - Done stopping logLedgerResul;t
2025-06-21T23:11:44.403659426Z 2025-06-21 23:11:44.403 | INFO     | rocket_controller.iteration_type:add_iteration:359 - Starting iteration 1
2025-06-21T23:11:44.403738215Z 2025-06-21 23:11:44.403 | INFO     | rocket_controller.interceptor_manager:start_new:70 - Starting interceptor
2025-06-21T23:11:44.404847931Z 2025-06-21 23:11:44.404 | INFO     | rocket_controller.iteration_type:_start_transactions:157 - Starting Transaction.
2025-06-21T23:12:04.405588866Z 2025-06-21 23:12:04.405 | INFO     | rocket_controller.iteration_type:_perform_transactions:163 - Waiting for validator nodes to be initialized...
2025-06-21T23:12:33.081365202Z 2025-06-21 23:12:33.081 | INFO     | rocket_controller.strategies.strategy:update_network:124 - Updating the strategy's network information
2025-06-21T23:12:34.406206993Z 2025-06-21 23:12:34.405 | INFO     | rocket_controller.iteration_type:_perform_transactions:167 - Waiting for network to be initialized...
2025-06-21T23:12:34.406263450Z 2025-06-21 23:12:34.406 | INFO     | rocket_controller.iteration_type:_perform_transactions:171 - Waiting for ledger to be available before submitting transaction...
2025-06-21T23:12:49.405357944Z 2025-06-21 23:12:49.404 | INFO     | rocket_controller.iteration_type:_timeout_reached:137 - Timeout reached.
2025-06-21T23:12:49.407000986Z 2025-06-21 23:12:49.406 | INFO     | rocket_controller.iteration_type:_timeout_reached:139 - Checking correct setup
2025-06-21T23:12:49.407143034Z 2025-06-21 23:12:49.406 | INFO     | rocket_controller.iteration_type:_timeout_reached:143 - Setup went wrong, resetting entire test.
2025-06-21T23:12:50.096685221Z 2025-06-21 23:12:50.096 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 1 validated ledger 2 in 0:00:16.924674
2025-06-21T23:12:50.174959891Z 2025-06-21 23:12:50.174 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 2 validated ledger 2 in 0:00:17.019275
2025-06-21T23:12:50.444608351Z 2025-06-21 23:12:50.444 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 4 validated ledger 2 in 0:00:17.324014
2025-06-21T23:12:50.509602593Z 2025-06-21 23:12:50.509 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 3 validated ledger 2 in 0:00:17.385042
2025-06-21T23:12:50.801216541Z 2025-06-21 23:12:50.800 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 0 validated ledger 2 in 0:00:17.676929
2025-06-21T23:12:52.409284042Z 2025-06-21 23:12:52.408 | INFO     | rocket_controller.iteration_type:_perform_transactions:177 - Attempting to submit 3 Genesis Transactions and 4 Regular Transactions to the network.
2025-06-21T23:12:52.409339437Z 2025-06-21 23:12:52.409 | INFO     | rocket_controller.iteration_type:_perform_transactions:187 - Sending 100001000000 from None to Account1 using peer 1...
2025-06-21T23:12:52.415065219Z 2025-06-21 23:12:52.414 | INFO     | rocket_controller.iteration_type:_perform_transactions:187 - Sending 100001000000 from None to Account2 using peer 1...
2025-06-21T23:12:52.444752519Z 2025-06-21 23:12:52.444 | INFO     | rocket_controller.network_manager:get_account:428 - Creating account Account1 with seed shsn7pNyVuUVhiiPHnbLpcZbid9K9 and address rhXoBzVNrnoEvPSLtmHAUvqNzy2DiZynRX
2025-06-21T23:12:52.460152139Z 2025-06-21 23:12:52.444 | INFO     | rocket_controller.iteration_type:_perform_transactions:187 - Sending 100001000000 from None to Account3 using peer 1...
2025-06-21T23:12:52.475077393Z 2025-06-21 23:12:52.474 | INFO     | rocket_controller.network_manager:get_account:428 - Creating account Account2 with seed sniCZYZN1fN1ZbpEZCqyQEkrmoC9v and address rsHq1Nt9ZakA8SEpeSKprZtJ51ih9sXdgE
2025-06-21T23:12:52.494257952Z 2025-06-21 23:12:52.493 | INFO     | rocket_controller.network_manager:get_account:428 - Creating account Account3 with seed shTGb2eCNM2RypHF5unhTB3ARvBph and address rsxYznrRwfJRqYqpeWTAXMbsQv9hSXTZor
2025-06-21T23:12:53.164397318Z 2025-06-21 23:12:53.164 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 2 validated ledger 3 in 0:00:02.992274
2025-06-21T23:12:53.778732305Z 2025-06-21 23:12:53.778 | INFO     | rocket_controller.iteration_type:perform_transaction:248 - Transaction C9244CA8D026CE85AC301D326862CB0D5CCE6B67E00D0C11DC3AA1DC2747C580 submitted successfully
2025-06-21T23:12:53.804126087Z 2025-06-21 23:12:53.803 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 0 validated ledger 3 in 0:00:03.001925
2025-06-21T23:12:54.098140879Z 2025-06-21 23:12:54.097 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 1 validated ledger 3 in 0:00:04.001396
2025-06-21T23:12:54.245921950Z 2025-06-21 23:12:54.245 | INFO     | rocket_controller.iteration_type:perform_transaction:248 - Transaction 893B2C20998419705651EF9B888563898630EE0F354CFEFDD759CC481AE93B2A submitted successfully
2025-06-21T23:12:54.445058659Z 2025-06-21 23:12:54.444 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 4 validated ledger 3 in 0:00:03.999894
2025-06-21T23:12:54.522498653Z 2025-06-21 23:12:54.522 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 3 validated ledger 3 in 0:00:04.002019
2025-06-21T23:12:54.969481931Z 2025-06-21 23:12:54.969 | INFO     | rocket_controller.iteration_type:perform_transaction:248 - Transaction 9846E82D44D5B574605BE1F729E36CD6C2B7560E5C12D28E98497B0BE13FAF95 submitted successfully
2025-06-21T23:12:56.164404316Z 2025-06-21 23:12:56.164 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 2 validated ledger 4 in 0:00:02.999945
2025-06-21T23:12:57.094776509Z 2025-06-21 23:12:57.094 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 1 validated ledger 4 in 0:00:03.011080
2025-06-21T23:12:57.507571057Z 2025-06-21 23:12:57.507 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 4 validated ledger 4 in 0:00:03.008081
2025-06-21T23:12:57.580717061Z 2025-06-21 23:12:57.580 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 3 validated ledger 4 in 0:00:03.040409
2025-06-21T23:12:57.843625362Z 2025-06-21 23:12:57.843 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 0 validated ledger 4 in 0:00:04.005282
