2025-06-21T21:08:20.728967473Z 2025-06-21 21:08:20.728 | DEBUG    | rocket_controller.strategies.strategy:__init__:82 - Initialized final strategy parameters:
2025-06-21T21:08:20.729025773Z 	{'encoding': [1646, 1707, 3215, 918, 2036, 392, 3534, 3042, 3420, 2732, 3114, 3871, 2215, 2344, 13, 2017, 64, 3472, 2207, 408, 1696, 2186, 3676, 1975, 3239, 2892, 1792, 1319, 3336, 316, 1827, 2767, 2480, 267, 3549, 3775, 3216, 3026, 1466, 1031, 3839, 2215, 2051, 1579, 1003, 1290, 316, 1106, 3024, 2545, 3889, 2648, 490, 2181, 1008, 3296, 3134, 3694, 177, 1823, 555, 528, 903, 923, 2898, 3390, 205, 1719, 1992, 729, 1602, 2127, 3908, 3851, 598, 3525, 1304, 1436, 1673, 1959, 1229, 504, 2175, 220, 1241, 2413, 1333, 1673, 2131, 679, 1064, 1677, 3310, 3670, 3683, 3287, 2327, 2235, 3695, 1789, 1453, 3086, 1958, 3911, 583, 2612, 1016, 2343, 455, 505, 348, 43, 2172, 2055, 2135, 3712, 1097, 1254, 724, 3421, 2812, 2005, 658, 2009, 89, 110, 846, 2934, 3086, 1625, 51, 673, 3250, 691, 3023, 2784, 3851, 3319, 3830, 2713]}
2025-06-21T21:08:20.729036704Z 2025-06-21 21:08:20.728 | DEBUG    | rocket_controller.strategies.strategy:__init__:83 - Initialized final strategy network configuration:
2025-06-21T21:08:20.729043968Z 	{'hostname_prefix': 'AMG_TimeTournament_G1T5R0', 'number_of_nodes': 5, 'network_partition': [], 'unl_partition': [], 'transactions': {'genesis': [{'peer_id': 1, 'amount': 100001000000, 'sender_account': 'None', 'destination_account': 'Account1'}, {'peer_id': 1, 'amount': 100001000000, 'sender_account': 'None', 'destination_account': 'Account2'}, {'peer_id': 1, 'amount': 100001000000, 'sender_account': 'None', 'destination_account': 'Account3'}], 'regular': [{'peer_id': 0, 'amount': 80000000000, 'sender_account': 'Account1', 'destination_account': 'Account2', 'time': 2}, {'peer_id': 1, 'amount': 81000000000, 'sender_account': 'Account1', 'destination_account': 'Account3', 'time': 2}, {'peer_id': 2, 'amount': 82000000000, 'sender_account': 'Account1', 'destination_account': 'Account3', 'time': 2}, {'peer_id': 3, 'amount': 83000000000, 'sender_account': 'Account1', 'destination_account': 'Account2', 'time': 2}]}}
2025-06-21T21:08:20.737320028Z 2025-06-21 21:08:20.737 | DEBUG    | rocket_controller.iteration_type:add_iteration:342 - Stopping logLedgerResul;t
2025-06-21T21:08:20.737470311Z 2025-06-21 21:08:20.737 | DEBUG    | rocket_controller.iteration_type:add_iteration:347 - Done stopping logLedgerResul;t
2025-06-21T21:08:20.738187394Z 2025-06-21 21:08:20.738 | INFO     | rocket_controller.iteration_type:add_iteration:359 - Starting iteration 1
2025-06-21T21:08:20.738246005Z 2025-06-21 21:08:20.738 | INFO     | rocket_controller.interceptor_manager:start_new:70 - Starting interceptor
2025-06-21T21:08:20.739474213Z 2025-06-21 21:08:20.739 | INFO     | rocket_controller.iteration_type:_start_transactions:157 - Starting Transaction.
2025-06-21T21:08:40.740098052Z 2025-06-21 21:08:40.739 | INFO     | rocket_controller.iteration_type:_perform_transactions:163 - Waiting for validator nodes to be initialized...
2025-06-21T21:08:51.557832244Z 2025-06-21 21:08:51.557 | INFO     | rocket_controller.strategies.strategy:update_network:124 - Updating the strategy's network information
2025-06-21T21:08:55.740665066Z 2025-06-21 21:08:55.740 | INFO     | rocket_controller.iteration_type:_perform_transactions:167 - Waiting for network to be initialized...
2025-06-21T21:08:55.740709751Z 2025-06-21 21:08:55.740 | INFO     | rocket_controller.iteration_type:_perform_transactions:171 - Waiting for ledger to be available before submitting transaction...
2025-06-21T21:09:10.454809465Z 2025-06-21 21:09:10.454 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 0 validated ledger 2 in 0:00:18.846810
2025-06-21T21:09:10.559675277Z 2025-06-21 21:09:10.559 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 3 validated ledger 2 in 0:00:18.924894
2025-06-21T21:09:10.690007733Z 2025-06-21 21:09:10.689 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 4 validated ledger 2 in 0:00:19.092463
2025-06-21T21:09:10.817145980Z 2025-06-21 21:09:10.816 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 1 validated ledger 2 in 0:00:19.195735
2025-06-21T21:09:11.072736173Z 2025-06-21 21:09:11.072 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 2 validated ledger 2 in 0:00:19.440347
2025-06-21T21:09:12.742985262Z 2025-06-21 21:09:12.742 | INFO     | rocket_controller.iteration_type:_perform_transactions:177 - Attempting to submit 3 Genesis Transactions and 4 Regular Transactions to the network.
2025-06-21T21:09:12.743103705Z 2025-06-21 21:09:12.742 | INFO     | rocket_controller.iteration_type:_perform_transactions:187 - Sending 100001000000 from None to Account1 using peer 1...
2025-06-21T21:09:12.748775940Z 2025-06-21 21:09:12.748 | INFO     | rocket_controller.iteration_type:_perform_transactions:187 - Sending 100001000000 from None to Account2 using peer 1...
2025-06-21T21:09:12.778024261Z 2025-06-21 21:09:12.777 | INFO     | rocket_controller.network_manager:get_account:428 - Creating account Account1 with seed ssc9f195LKxd1wBAxVg2HasBAT4A5 and address rNKojUZW43y8GZTD1asVYJXnmSWPMvo97F
2025-06-21T21:09:12.788830485Z 2025-06-21 21:09:12.788 | INFO     | rocket_controller.iteration_type:_perform_transactions:187 - Sending 100001000000 from None to Account3 using peer 1...
2025-06-21T21:09:12.804785667Z 2025-06-21 21:09:12.804 | INFO     | rocket_controller.network_manager:get_account:428 - Creating account Account2 with seed shsL7qYvLS38V1E8ioxpg4RNACusz and address rPV875W5DLDUuytwTs37CkXc1CZv57SN2s
2025-06-21T21:09:12.818482026Z 2025-06-21 21:09:12.818 | INFO     | rocket_controller.network_manager:get_account:428 - Creating account Account3 with seed ssoE9MHTKoe9kij2WFW8kCjQuggnf and address rnvZtCqZFo4YGk6sS7RNKYoQFRh3uiaEa4
2025-06-21T21:09:13.452133381Z 2025-06-21 21:09:13.451 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 0 validated ledger 3 in 0:00:03.004655
2025-06-21T21:09:13.521782830Z 2025-06-21 21:09:13.521 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 3 validated ledger 3 in 0:00:03.000649
2025-06-21T21:09:13.695521476Z 2025-06-21 21:09:13.695 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 4 validated ledger 3 in 0:00:03.001302
2025-06-21T21:09:13.828140827Z 2025-06-21 21:09:13.827 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 1 validated ledger 3 in 0:00:03.001658
2025-06-21T21:09:14.274775877Z 2025-06-21 21:09:14.274 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 2 validated ledger 3 in 0:00:03.005120
2025-06-21T21:09:14.766815640Z 2025-06-21 21:09:14.766 | INFO     | rocket_controller.iteration_type:perform_transaction:248 - Transaction 087F13814959FD5FD53C7018F10C103A307674293E6EC7077965316264D6522D submitted successfully
2025-06-21T21:09:15.795388335Z 2025-06-21 21:09:15.794 | INFO     | rocket_controller.iteration_type:perform_transaction:248 - Transaction 3B87F5B209325576B50BBF14CF31A07F10EC40199D6915AE36A2B4030AEE9448 submitted successfully
2025-06-21T21:09:16.479742671Z 2025-06-21 21:09:16.479 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 0 validated ledger 4 in 0:00:02.998496
2025-06-21T21:09:16.641518529Z 2025-06-21 21:09:16.641 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 3 validated ledger 4 in 0:00:03.070708
2025-06-21T21:09:16.642874728Z 2025-06-21 21:09:16.642 | INFO     | rocket_controller.iteration_type:perform_transaction:248 - Transaction 9750915B9319C8067B3E597B574C7DF7AB6CE28A6DA60D3FA52BCBB344F5EB8F submitted successfully
2025-06-21T21:09:16.702397014Z 2025-06-21 21:09:16.702 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 4 validated ledger 4 in 0:00:03.001072
2025-06-21T21:09:17.042221502Z 2025-06-21 21:09:17.041 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 2 validated ledger 4 in 0:00:02.999081
2025-06-21T21:09:17.799089020Z 2025-06-21 21:09:17.798 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 1 validated ledger 4 in 0:00:04.003984
2025-06-21T21:09:19.451173141Z 2025-06-21 21:09:19.450 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 0 validated ledger 5 in 0:00:03.000182
2025-06-21T21:09:19.565758336Z 2025-06-21 21:09:19.565 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 3 validated ledger 5 in 0:00:02.931508
2025-06-21T21:09:19.706510947Z 2025-06-21 21:09:19.706 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 4 validated ledger 5 in 0:00:03.000884
2025-06-21T21:09:20.045000625Z 2025-06-21 21:09:20.044 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 2 validated ledger 5 in 0:00:03.001151
2025-06-21T21:09:20.823921353Z 2025-06-21 21:09:20.823 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 1 validated ledger 5 in 0:00:03.002887
2025-06-21T21:09:21.643847430Z 2025-06-21 21:09:21.643 | INFO     | rocket_controller.iteration_type:_perform_transactions:201 - Sending 80000000000 from Account1 to Account2 after 2 seconds using peer 0...
2025-06-21T21:09:21.644207700Z 2025-06-21 21:09:21.644 | INFO     | rocket_controller.iteration_type:_perform_transactions:201 - Sending 81000000000 from Account1 to Account3 after 2 seconds using peer 1...
2025-06-21T21:09:21.644511493Z 2025-06-21 21:09:21.644 | INFO     | rocket_controller.iteration_type:_perform_transactions:201 - Sending 82000000000 from Account1 to Account3 after 2 seconds using peer 2...
