2025-06-21T16:04:05.142850029Z 2025-06-21 16:04:05.142 | DEBUG    | rocket_controller.strategies.strategy:__init__:82 - Initialized final strategy parameters:
2025-06-21T16:04:05.142895004Z 	{'encoding': [3474, 2, 605, 631, 225, 477, 259, 3524, 660, 583, 817, 1812, 1693, 3829, 3231, 2518, 2271, 2888, 2833, 775, 993, 3400, 2084, 2855, 3772, 777, 250, 3517, 3075, 2643, 3073, 1648, 3684, 3465, 1140, 1182, 59, 3510, 554, 864, 1437, 1355, 1823, 3028, 3404, 1630, 180, 3236, 3017, 3245, 3158, 554, 3030, 585, 2879, 979, 2535, 1667, 353, 2333, 1193, 1662, 1704, 2563, 244, 1437, 1305, 1266, 594, 3566, 1441, 1401, 2653, 2190, 2912, 1772, 2619, 2803, 3167, 139, 899, 2551, 2927, 3868, 622, 3828, 1001, 2758, 1398, 26, 3370, 683, 3251, 2566, 1517, 1425, 754, 683, 745, 380, 199, 2765, 3197, 1052, 454, 1457, 353, 1108, 1001, 691, 2815, 2139, 2989, 3506, 883, 2669, 841, 2990, 3829, 401, 3634, 2846, 701, 527, 735, 2596, 1011, 3479, 1890, 3942, 1355, 389, 3486, 380, 1724, 71, 957, 491, 2505, 827]}
2025-06-21T16:04:05.142910153Z 2025-06-21 16:04:05.142 | DEBUG    | rocket_controller.strategies.strategy:__init__:83 - Initialized final strategy network configuration:
2025-06-21T16:04:05.142915673Z 	{'hostname_prefix': 'AMG_TournamentDCD_G12T4R0', 'number_of_nodes': 5, 'network_partition': [], 'unl_partition': [], 'transactions': {'genesis': [{'peer_id': 1, 'amount': 100001000000, 'sender_account': 'None', 'destination_account': 'Account1'}, {'peer_id': 1, 'amount': 100001000000, 'sender_account': 'None', 'destination_account': 'Account2'}, {'peer_id': 1, 'amount': 100001000000, 'sender_account': 'None', 'destination_account': 'Account3'}], 'regular': [{'peer_id': 0, 'amount': 80000000000, 'sender_account': 'Account1', 'destination_account': 'Account2', 'time': 2}, {'peer_id': 1, 'amount': 81000000000, 'sender_account': 'Account1', 'destination_account': 'Account3', 'time': 2}, {'peer_id': 2, 'amount': 82000000000, 'sender_account': 'Account1', 'destination_account': 'Account3', 'time': 2}, {'peer_id': 3, 'amount': 83000000000, 'sender_account': 'Account1', 'destination_account': 'Account2', 'time': 2}]}}
2025-06-21T16:04:05.151225154Z 2025-06-21 16:04:05.151 | DEBUG    | rocket_controller.iteration_type:add_iteration:342 - Stopping logLedgerResul;t
2025-06-21T16:04:05.151259929Z 2025-06-21 16:04:05.151 | DEBUG    | rocket_controller.iteration_type:add_iteration:347 - Done stopping logLedgerResul;t
2025-06-21T16:04:05.151960212Z 2025-06-21 16:04:05.151 | INFO     | rocket_controller.iteration_type:add_iteration:359 - Starting iteration 1
2025-06-21T16:04:05.152035484Z 2025-06-21 16:04:05.151 | INFO     | rocket_controller.interceptor_manager:start_new:70 - Starting interceptor
2025-06-21T16:04:05.153159797Z 2025-06-21 16:04:05.153 | INFO     | rocket_controller.iteration_type:_start_transactions:157 - Starting Transaction.
2025-06-21T16:04:25.153815655Z 2025-06-21 16:04:25.153 | INFO     | rocket_controller.iteration_type:_perform_transactions:163 - Waiting for validator nodes to be initialized...
2025-06-21T16:04:35.177724584Z 2025-06-21 16:04:35.177 | INFO     | rocket_controller.strategies.strategy:update_network:124 - Updating the strategy's network information
2025-06-21T16:04:40.154403770Z 2025-06-21 16:04:40.154 | INFO     | rocket_controller.iteration_type:_perform_transactions:167 - Waiting for network to be initialized...
2025-06-21T16:04:40.154556648Z 2025-06-21 16:04:40.154 | INFO     | rocket_controller.iteration_type:_perform_transactions:171 - Waiting for ledger to be available before submitting transaction...
2025-06-21T16:05:00.246450514Z 2025-06-21 16:05:00.246 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 0 validated ledger 2 in 0:00:25.021429
2025-06-21T16:05:00.422010662Z 2025-06-21 16:05:00.421 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 1 validated ledger 2 in 0:00:25.162000
2025-06-21T16:05:00.498454761Z 2025-06-21 16:05:00.498 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 4 validated ledger 2 in 0:00:25.245852
2025-06-21T16:05:00.560973364Z 2025-06-21 16:05:00.560 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 3 validated ledger 2 in 0:00:25.322159
2025-06-21T16:05:00.636769769Z 2025-06-21 16:05:00.636 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 2 validated ledger 2 in 0:00:25.421290
2025-06-21T16:05:02.157268008Z 2025-06-21 16:05:02.156 | INFO     | rocket_controller.iteration_type:_perform_transactions:177 - Attempting to submit 3 Genesis Transactions and 4 Regular Transactions to the network.
2025-06-21T16:05:02.157338361Z 2025-06-21 16:05:02.157 | INFO     | rocket_controller.iteration_type:_perform_transactions:187 - Sending 100001000000 from None to Account1 using peer 1...
2025-06-21T16:05:02.163113806Z 2025-06-21 16:05:02.162 | INFO     | rocket_controller.iteration_type:_perform_transactions:187 - Sending 100001000000 from None to Account2 using peer 1...
2025-06-21T16:05:02.168652926Z 2025-06-21 16:05:02.168 | INFO     | rocket_controller.iteration_type:_perform_transactions:187 - Sending 100001000000 from None to Account3 using peer 1...
