node_id,sender account alias,receiver account alias,amount,tx_hash,validated
0,None,Account1,100001000000,949D2A3F622084DD834CF1C316D1DD5B754D0468422AAEAFAE2529FF3502A63E,False
0,None,Account3,100001000000,81A218C9386B4228E9F47AE8E86D3C0A8F7647C1DD0BD8118B55AB681063B2FF,False
0,None,Account2,100001000000,A71A15723DE345F270D90F8D743F3BDD196A9D72096699DD95BC08CEDE233A12,False
0,Account1,Account3,82000000000,6E0C8CEB9BB73BC141679F76F4BBE3569293E72D4F609D24E6E5F9302B7CE4AA,False
0,Account1,Account2,80000000000,2608123052FFEA41E06C3AD197E03A522FC5A0718D258BA3EC26B5CF0CD2FC9D,False
0,Account1,Account2,83000000000,7377EBE06CD1B2C0524799493C99A146609513F28ADC4575619DEFFDA146FF71,False
0,Account1,Account3,81000000000,FE42E42504C2B7CB222F75E4906E80CA6D4BC3046EB1BCD6672500B2E6642787,False
1,None,Account1,100001000000,949D2A3F622084DD834CF1C316D1DD5B754D0468422AAEAFAE2529FF3502A63E,False
1,None,Account3,100001000000,81A218C9386B4228E9F47AE8E86D3C0A8F7647C1DD0BD8118B55AB681063B2FF,False
1,None,Account2,100001000000,A71A15723DE345F270D90F8D743F3BDD196A9D72096699DD95BC08CEDE233A12,False
1,Account1,Account3,82000000000,6E0C8CEB9BB73BC141679F76F4BBE3569293E72D4F609D24E6E5F9302B7CE4AA,False
1,Account1,Account2,80000000000,2608123052FFEA41E06C3AD197E03A522FC5A0718D258BA3EC26B5CF0CD2FC9D,False
1,Account1,Account2,83000000000,7377EBE06CD1B2C0524799493C99A146609513F28ADC4575619DEFFDA146FF71,False
1,Account1,Account3,81000000000,FE42E42504C2B7CB222F75E4906E80CA6D4BC3046EB1BCD6672500B2E6642787,False
2,None,Account1,100001000000,949D2A3F622084DD834CF1C316D1DD5B754D0468422AAEAFAE2529FF3502A63E,False
2,None,Account3,100001000000,81A218C9386B4228E9F47AE8E86D3C0A8F7647C1DD0BD8118B55AB681063B2FF,False
2,None,Account2,100001000000,A71A15723DE345F270D90F8D743F3BDD196A9D72096699DD95BC08CEDE233A12,False
2,Account1,Account3,82000000000,6E0C8CEB9BB73BC141679F76F4BBE3569293E72D4F609D24E6E5F9302B7CE4AA,False
2,Account1,Account2,80000000000,2608123052FFEA41E06C3AD197E03A522FC5A0718D258BA3EC26B5CF0CD2FC9D,False
2,Account1,Account2,83000000000,7377EBE06CD1B2C0524799493C99A146609513F28ADC4575619DEFFDA146FF71,False
2,Account1,Account3,81000000000,FE42E42504C2B7CB222F75E4906E80CA6D4BC3046EB1BCD6672500B2E6642787,False
3,None,Account1,100001000000,949D2A3F622084DD834CF1C316D1DD5B754D0468422AAEAFAE2529FF3502A63E,False
3,None,Account3,100001000000,81A218C9386B4228E9F47AE8E86D3C0A8F7647C1DD0BD8118B55AB681063B2FF,False
3,None,Account2,100001000000,A71A15723DE345F270D90F8D743F3BDD196A9D72096699DD95BC08CEDE233A12,False
3,Account1,Account3,82000000000,6E0C8CEB9BB73BC141679F76F4BBE3569293E72D4F609D24E6E5F9302B7CE4AA,False
3,Account1,Account2,80000000000,2608123052FFEA41E06C3AD197E03A522FC5A0718D258BA3EC26B5CF0CD2FC9D,False
3,Account1,Account2,83000000000,7377EBE06CD1B2C0524799493C99A146609513F28ADC4575619DEFFDA146FF71,True
3,Account1,Account3,81000000000,FE42E42504C2B7CB222F75E4906E80CA6D4BC3046EB1BCD6672500B2E6642787,False
4,None,Account1,100001000000,949D2A3F622084DD834CF1C316D1DD5B754D0468422AAEAFAE2529FF3502A63E,False
4,None,Account3,100001000000,81A218C9386B4228E9F47AE8E86D3C0A8F7647C1DD0BD8118B55AB681063B2FF,False
4,None,Account2,100001000000,A71A15723DE345F270D90F8D743F3BDD196A9D72096699DD95BC08CEDE233A12,False
4,Account1,Account3,82000000000,6E0C8CEB9BB73BC141679F76F4BBE3569293E72D4F609D24E6E5F9302B7CE4AA,False
4,Account1,Account2,80000000000,2608123052FFEA41E06C3AD197E03A522FC5A0718D258BA3EC26B5CF0CD2FC9D,False
4,Account1,Account2,83000000000,7377EBE06CD1B2C0524799493C99A146609513F28ADC4575619DEFFDA146FF71,True
4,Account1,Account3,81000000000,FE42E42504C2B7CB222F75E4906E80CA6D4BC3046EB1BCD6672500B2E6642787,False
