node_id,ledger_seq,goal_ledger_seq,time_to_validation,close_time,ledger_hash,ledger_index
0,3,20,3.002217,803846380,20591F18AF9BC1BF8A7FE36E13E478F3CF26F8BB8C2371E9F2263563B2734528,3
1,3,20,3.006719,803846380,20591F18AF9BC1BF8A7FE36E13E478F3CF26F8BB8C2371E9F2263563B2734528,3
3,3,20,2.997634,803846380,20591F18AF9BC1BF8A7FE36E13E478F3CF26F8BB8C2371E9F2263563B2734528,3
2,3,20,3.934109,803846380,20591F18AF9BC1BF8A7FE36E13E478F3CF26F8BB8C2371E9F2263563B2734528,3
4,2,20,24.125809,803846360,841C279CE69874B88676593BD4A5ADDFBEFEB3BDEB85B54535DDC2C7BE11A84B,2
2,2,20,24.200203,803846360,841C279CE69874B88676593BD4A5ADDFBEFEB3BDEB85B54535DDC2C7BE11A84B,2
0,2,20,24.504128,803846360,841C279CE69874B88676593BD4A5ADDFBEFEB3BDEB85B54535DDC2C7BE11A84B,2
1,2,20,24.607839,803846360,841C279CE69874B88676593BD4A5ADDFBEFEB3BDEB85B54535DDC2C7BE11A84B,2
3,2,20,24.655143,803846360,841C279CE69874B88676593BD4A5ADDFBEFEB3BDEB85B54535DDC2C7BE11A84B,2
0,4,20,3.048229,803846381,2410864CA81A433AFEAE0A86A38B53EBD888A1F043326754E550815B980276C1,4
1,4,20,3.032732,803846381,2410864CA81A433AFEAE0A86A38B53EBD888A1F043326754E550815B980276C1,4
3,4,20,3.031734,803846381,2410864CA81A433AFEAE0A86A38B53EBD888A1F043326754E550815B980276C1,4
4,4,20,4.001016,803846381,2410864CA81A433AFEAE0A86A38B53EBD888A1F043326754E550815B980276C1,4
2,4,20,3.055217,803846381,2410864CA81A433AFEAE0A86A38B53EBD888A1F043326754E550815B980276C1,4
4,3,20,2.999290,803846380,20591F18AF9BC1BF8A7FE36E13E478F3CF26F8BB8C2371E9F2263563B2734528,3
3,5,20,2.956208,803846390,2A835DFC3FE40DEA3F992F047D8134050CB90D05309CBCA36C58C41812488027,5
2,5,20,2.953691,803846390,3519806853DF0FB421509F552CBED82971623DEEE82E2E87A9FD5F388569F397,5
0,5,20,3.954340,803846390,2A835DFC3FE40DEA3F992F047D8134050CB90D05309CBCA36C58C41812488027,5
1,5,20,3.966606,803846390,2A835DFC3FE40DEA3F992F047D8134050CB90D05309CBCA36C58C41812488027,5
4,5,20,6.004624,803846390,BAEBF773242AAADA0F4ACFB37ABBB03F8B52D8B606CAC96045C8D333142B6835,5
0,6,20,3.002662,803846391,10E6488D838E2A9543C41E02A5E046942D8551AF48FF0032C5E63487DA43F7DC,6
1,6,20,3.173037,803846391,10E6488D838E2A9543C41E02A5E046942D8551AF48FF0032C5E63487DA43F7DC,6
3,6,20,4.351616,803846391,10E6488D838E2A9543C41E02A5E046942D8551AF48FF0032C5E63487DA43F7DC,6
0,7,20,3.002612,803846392,38EF4B18E5000EE0E9AAD4C882FECD7148356137DB5844293F1A4CD353C112AE,7
1,7,20,2.835487,803846392,38EF4B18E5000EE0E9AAD4C882FECD7148356137DB5844293F1A4CD353C112AE,7
3,7,20,2.678138,803846392,38EF4B18E5000EE0E9AAD4C882FECD7148356137DB5844293F1A4CD353C112AE,7
1,8,20,3.002428,803846400,736E13FD5BC54C99B29213373CB681FA6C89087468C37658845B7DB9C6707043,8
3,8,20,2.990847,803846400,F71161E9EE908704CDCBEA1E30E99A021FF8B63E4316EE8066ED5EF1340C8EE7,8
0,8,20,14.009666,803846400,5B50C16DE1FF983C89D287BC50A2BFCD81452A79FC8C2C21B46FFF182F533840,8
4,7,20,20.020435,803846392,38EF4B18E5000EE0E9AAD4C882FECD7148356137DB5844293F1A4CD353C112AE,7
2,6,20,23.088465,803846391,10E6488D838E2A9543C41E02A5E046942D8551AF48FF0032C5E63487DA43F7DC,6
1,9,20,16.009262,803846401,5964FFE436C874CDB1045C292D063EFA83B97F4BBF09C91F9FD95A6C826BB9BE,9
3,9,20,16.036704,803846401,2520D987AD78D5BC670A2291C8357FB8FBDE2FD283DAF34A6B8A14A047176393,9
4,8,20,4.997832,803846400,5B50C16DE1FF983C89D287BC50A2BFCD81452A79FC8C2C21B46FFF182F533840,8
0,9,20,12.006982,803846420,92912B2C3B9A7D7ADDD953470A1E81CAB7FB936DA2CA0F96156DCED0D2586BCF,9
4,9,20,5.004418,803846420,92912B2C3B9A7D7ADDD953470A1E81CAB7FB936DA2CA0F96156DCED0D2586BCF,9
2,7,20,11.972107,803846392,38EF4B18E5000EE0E9AAD4C882FECD7148356137DB5844293F1A4CD353C112AE,7
4,10,20,4.009252,803846421,099213D91BEA9B086FD17C05511A32C8A074C9273211FF182AFE254ADFB67522,10
0,10,20,5.003063,803846421,099213D91BEA9B086FD17C05511A32C8A074C9273211FF182AFE254ADFB67522,10
0,11,20,3.001082,803846430,B4F012F01BD9556D081B2ECA3F8FB71F11E8B80555AE4F32E372B81495EFA8D4,11
4,11,20,4.004073,803846430,B4F012F01BD9556D081B2ECA3F8FB71F11E8B80555AE4F32E372B81495EFA8D4,11
0,12,20,3.001238,803846431,D74B6C40F537D694500320CEC31129219463168066412C8F6A362562D6D168E5,12
4,12,20,2.998246,803846431,D74B6C40F537D694500320CEC31129219463168066412C8F6A362562D6D168E5,12
0,13,20,3.001611,803846432,A6EC3849109E3104BC60BF55F5629E4573078574AAC51E38764C69C7A5EC4324,13
4,13,20,3.000680,803846432,A6EC3849109E3104BC60BF55F5629E4573078574AAC51E38764C69C7A5EC4324,13
0,14,20,3.002420,803846440,0811B419769554F65BCCBF184A33D66768733F3207AECCB6A55230B263905588,14
4,14,20,3.002400,803846440,0811B419769554F65BCCBF184A33D66768733F3207AECCB6A55230B263905588,14
1,10,20,25.012362,803846421,099213D91BEA9B086FD17C05511A32C8A074C9273211FF182AFE254ADFB67522,10
3,10,20,24.994310,803846421,099213D91BEA9B086FD17C05511A32C8A074C9273211FF182AFE254ADFB67522,10
0,15,20,2.999870,803846441,C2D876CDB077BB0CA84F94FDADA9E4599BC2C12822C918BC943D180762B08772,15
4,15,20,3.000527,803846441,C2D876CDB077BB0CA84F94FDADA9E4599BC2C12822C918BC943D180762B08772,15
0,16,20,3.002735,803846442,9E8111D1252BF00843856DFC3EDF3FD473CCE6E9AA334181D9F27DF662601BAD,16
4,16,20,3.001100,803846442,9E8111D1252BF00843856DFC3EDF3FD473CCE6E9AA334181D9F27DF662601BAD,16
0,17,20,3.000154,803846450,9300A9464EEBB2484EC7553866AE8D61281BF964D39FB0927A0D57986E3695A7,17
4,17,20,3.002080,803846450,9300A9464EEBB2484EC7553866AE8D61281BF964D39FB0927A0D57986E3695A7,17
2,8,20,24.987742,803846400,5B50C16DE1FF983C89D287BC50A2BFCD81452A79FC8C2C21B46FFF182F533840,8
0,18,20,3.001140,803846451,3C7829C163F4177C9CB58A55806320FE820A51428BC23181DDA6CC73E5BB9E0B,18
4,18,20,3.002033,803846451,3C7829C163F4177C9CB58A55806320FE820A51428BC23181DDA6CC73E5BB9E0B,18
0,19,20,3.002564,803846452,46DF5A04D5F72F17E4B690D04A62BA7B11B8A83F98B51BADD4BEDA980945C2AC,19
4,19,20,3.000264,803846452,46DF5A04D5F72F17E4B690D04A62BA7B11B8A83F98B51BADD4BEDA980945C2AC,19
0,20,20,3.000298,803846460,069948381452BB5947E38149D69FF60E2D02E2EB77832666C5ED55AE53B43464,20
4,20,20,3.001007,803846460,069948381452BB5947E38149D69FF60E2D02E2EB77832666C5ED55AE53B43464,20
