peer_id,peer_to_id,ledger_seq,ledger_hash,raw_contents
3,4,2,31520df9abe441177356f6130a1e12b3276f7cbc21685c39ad6fdd6c859f8bb3,[]
1,4,2,31520df9abe441177356f6130a1e12b3276f7cbc21685c39ad6fdd6c859f8bb3,[]
2,4,2,31520df9abe441177356f6130a1e12b3276f7cbc21685c39ad6fdd6c859f8bb3,[]
4,2,2,31520df9abe441177356f6130a1e12b3276f7cbc21685c39ad6fdd6c859f8bb3,[]
0,2,2,31520df9abe441177356f6130a1e12b3276f7cbc21685c39ad6fdd6c859f8bb3,[]
2,4,3,f710c78e6cffe078a22804738de5dd87d4d21d9a08b697658e2c23281106778e,[]
4,3,3,f710c78e6cffe078a22804738de5dd87d4d21d9a08b697658e2c23281106778e,[]
0,3,3,f710c78e6cffe078a22804738de5dd87d4d21d9a08b697658e2c23281106778e,[]
3,4,3,f710c78e6cffe078a22804738de5dd87d4d21d9a08b697658e2c23281106778e,[]
1,4,3,f710c78e6cffe078a22804738de5dd87d4d21d9a08b697658e2c23281106778e,[]
2,1,4,6a1951bba9301550c2111d6cb6541768e48a99b3698c7b0ce7e0e173db78e8d9,[]
4,2,4,6a1951bba9301550c2111d6cb6541768e48a99b3698c7b0ce7e0e173db78e8d9,[]
0,4,4,6a1951bba9301550c2111d6cb6541768e48a99b3698c7b0ce7e0e173db78e8d9,[]
3,4,4,6a1951bba9301550c2111d6cb6541768e48a99b3698c7b0ce7e0e173db78e8d9,[]
1,4,4,6a1951bba9301550c2111d6cb6541768e48a99b3698c7b0ce7e0e173db78e8d9,[]
2,3,5,79b224099e8001c88438cb46297bf5d60ae5ce26fe83bb8f3cf24e9d2dd721d6,['C5AFA7261B66FD606404E97BD7C6B6E48706B82AF0804F6BEFB750CDCD93DB5E']
4,3,5,79b224099e8001c88438cb46297bf5d60ae5ce26fe83bb8f3cf24e9d2dd721d6,['C5AFA7261B66FD606404E97BD7C6B6E48706B82AF0804F6BEFB750CDCD93DB5E']
3,2,5,79b224099e8001c88438cb46297bf5d60ae5ce26fe83bb8f3cf24e9d2dd721d6,['C5AFA7261B66FD606404E97BD7C6B6E48706B82AF0804F6BEFB750CDCD93DB5E']
1,3,5,79b224099e8001c88438cb46297bf5d60ae5ce26fe83bb8f3cf24e9d2dd721d6,['C5AFA7261B66FD606404E97BD7C6B6E48706B82AF0804F6BEFB750CDCD93DB5E']
0,2,5,79b224099e8001c88438cb46297bf5d60ae5ce26fe83bb8f3cf24e9d2dd721d6,['C5AFA7261B66FD606404E97BD7C6B6E48706B82AF0804F6BEFB750CDCD93DB5E']
3,2,6,f67730086ad1dbea0b516c6ab4bdade24e40128b7bb03d755f41d4ef1e077985,"['26FE11960FB44E6679B1ABB5362418DC39D22693AC96746A592ECFBBFF21888B', '705C872EE7C092517193CE5C579F75CC9D2266C22A397ACE06578AFC9CEB1C17']"
1,3,6,f67730086ad1dbea0b516c6ab4bdade24e40128b7bb03d755f41d4ef1e077985,"['26FE11960FB44E6679B1ABB5362418DC39D22693AC96746A592ECFBBFF21888B', '705C872EE7C092517193CE5C579F75CC9D2266C22A397ACE06578AFC9CEB1C17']"
2,3,6,f67730086ad1dbea0b516c6ab4bdade24e40128b7bb03d755f41d4ef1e077985,"['26FE11960FB44E6679B1ABB5362418DC39D22693AC96746A592ECFBBFF21888B', '705C872EE7C092517193CE5C579F75CC9D2266C22A397ACE06578AFC9CEB1C17']"
4,3,6,f67730086ad1dbea0b516c6ab4bdade24e40128b7bb03d755f41d4ef1e077985,"['26FE11960FB44E6679B1ABB5362418DC39D22693AC96746A592ECFBBFF21888B', '705C872EE7C092517193CE5C579F75CC9D2266C22A397ACE06578AFC9CEB1C17']"
0,3,6,f67730086ad1dbea0b516c6ab4bdade24e40128b7bb03d755f41d4ef1e077985,"['26FE11960FB44E6679B1ABB5362418DC39D22693AC96746A592ECFBBFF21888B', '705C872EE7C092517193CE5C579F75CC9D2266C22A397ACE06578AFC9CEB1C17']"
2,3,7,7926d1a044476f097d0b0912391eea7744dbea42abf3dff5e95b399582a81869,[]
